Symbol,NAV,LTP,Premium_Pct,NAV_Date
NIFTY1,269.0088,268.56,-0.17,24-Aug-2026
AONEGOLD,15.001,15.02,0.13,24-Aug-2026
MIDSMALL,52.2659,52.1,-0.32,24-Aug-2026
HDFCMID150,23.7318,23.72,-0.05,24-Aug-2026
GROWWMOM50,11.0347,11.02,-0.13,24-Aug-2026
HEALTHIETF,168.5672,169.08,0.3,24-Aug-2026
MOGOLD,158.8267,159.0,0.11,24-Aug-2026
SML100CASE,11.3292,11.3,-0.26,24-Aug-2026
NEXT50,764.8612,764.25,-0.08,24-Aug-2026
MONQ50,122.0173,147.84,21.16,24-Aug-2026
SNXT30BEES,43.2564,43.07,-0.43,24-Aug-2026
MIDCAP,18.7355,18.68,-0.3,24-Aug-2026
IT,34.0088,33.72,-0.85,24-Aug-2026
CONSUMBEES,133.9883,133.74,-0.19,24-Aug-2026
MOM30IETF,31.7074,31.61,-0.31,24-Aug-2026
HDFCNEXT50,75.7255,75.55,-0.23,24-Aug-2026
FINIETF,33.3479,33.35,0.01,24-Aug-2026
EBBETF0433,1307.3884,1313.89,0.5,24-Aug-2026
DEFENCE,81.8799,81.75,-0.16,24-Aug-2026
ALPHAETF,26.9668,27.01,0.16,24-Aug-2026
MOM100,68.9041,68.85,-0.08,24-Aug-2026
TOP10ADD,87.907,87.78,-0.14,24-Aug-2026
SBILIQETF,1053.0797,1053.36,0.03,24-Aug-2026
MOMMIDCAP,13.1107,13.13,0.15,24-Aug-2026
TOP100CASE,10.6663,10.66,-0.06,24-Aug-2026
HEALTHY,16.8998,16.92,0.12,24-Aug-2026
EGOLD,160.4915,160.8,0.19,24-Aug-2026
HEALTHADD,16.5828,16.6,0.1,24-Aug-2026
PSUBNKIETF,86.661,86.84,0.21,24-Aug-2026
EVINDIA,33.566,33.38,-0.55,24-Aug-2026
QUAL30IETF,21.3818,21.24,-0.66,24-Aug-2026
GROWWHOSPI,51.6028,51.78,0.34,24-Aug-2026
GROWWEV,33.4361,33.17,-0.8,24-Aug-2026
LOWVOL1,21.3003,21.27,-0.14,24-Aug-2026
GROWWMETAL,12.7569,12.68,-0.6,24-Aug-2026
HDFCNIFTY,273.1682,272.9,-0.1,24-Aug-2026
INFRABEES,966.6019,964.49,-0.22,24-Aug-2026
NEXT50BETA,80.0024,79.95,-0.07,24-Aug-2026
MOVALUE,113.29,113.47,0.16,24-Aug-2026
NIF100BEES,269.3805,268.93,-0.17,24-Aug-2026
ESILVER,242.6178,240.63,-0.82,24-Aug-2026
NIFTYCASE,9.73,9.73,0.0,24-Aug-2026
GROWWNIFTY,9.7947,9.78,-0.15,24-Aug-2026
GOLDBND,160.3574,160.88,0.33,24-Aug-2026
NV20IETF,13.6211,13.57,-0.38,24-Aug-2026
SETFNIFBK,591.7719,591.0,-0.13,24-Aug-2026
ITETF,32.4575,32.19,-0.82,24-Aug-2026
TNIDETF,91.4763,90.73,-0.82,24-Aug-2026
LTGILTCASE,30.5301,30.57,0.13,24-Aug-2026
HDFCMOMENT,31.4267,31.34,-0.28,24-Aug-2026
SENSEXIETF,890.4319,889.66,-0.09,24-Aug-2026
INFRAIETF,96.2209,95.97,-0.26,24-Aug-2026
ENERGY,38.5679,38.34,-0.59,24-Aug-2026
BFSI,27.2212,27.24,0.07,24-Aug-2026
MAKEINDIA,168.1155,167.51,-0.36,24-Aug-2026
NV20BEES,139.7847,139.39,-0.28,24-Aug-2026
HDFCGROWTH,121.0631,120.7,-0.3,24-Aug-2026
MIDSELIETF,19.9724,19.94,-0.16,24-Aug-2026
CHOICEGOLD,159.4836,159.29,-0.12,24-Aug-2026
IVZINNIFTY,277.9827,277.86,-0.04,24-Aug-2026
COMMOIETF,100.3502,99.72,-0.63,24-Aug-2026
BBETF0432,1346.3557,1344.0,-0.17,24-Aug-2026
LIQUIDSBI,1000.0,1000.0,0.0,24-Aug-2026
BSLNIFTY,28.4182,28.41,-0.03,24-Aug-2026
VAL30IETF,15.2489,15.19,-0.39,24-Aug-2026
AONESILVER,9.2792,9.18,-1.07,24-Aug-2026
ALPL30IETF,28.1585,28.03,-0.46,24-Aug-2026
SMALL250,18.4369,18.38,-0.31,24-Aug-2026
SILVERBND,243.3721,241.97,-0.58,24-Aug-2026
MOMIDMTM,64.9031,64.94,0.06,24-Aug-2026
SELECTIPO,48.8787,48.88,0.0,24-Aug-2026
EVIETF,33.5173,33.38,-0.41,24-Aug-2026
GROWWCAPM,11.5105,11.56,0.43,24-Aug-2026
HDFCSENSEX,87.8497,87.7,-0.17,24-Aug-2026
NIFTYADD,255.3703,254.74,-0.25,24-Aug-2026
SMALLADD,18.4833,18.46,-0.13,24-Aug-2026
INTERNET,14.5602,14.66,0.69,24-Aug-2026
BANKETF,587.0001,585.9,-0.19,24-Aug-2026
IVZINGOLD,139.7339,140.1,0.26,24-Aug-2026
EQUAL50ADD,345.6539,344.59,-0.31,24-Aug-2026
CEMNTGROWW,14.8233,14.76,-0.43,24-Aug-2026
SBISMLETF,18.3974,18.37,-0.15,24-Aug-2026
MOTOUR,79.4411,79.59,0.19,24-Aug-2026
MOENERGY,38.4933,38.3,-0.5,24-Aug-2026
MOGSEC,65.3716,65.13,-0.37,24-Aug-2026
NIFTYJBLK,12.416,12.41,-0.05,24-Aug-2026
ABSLLIQUID,1000.0,999.99,-0.0,24-Aug-2026
DIVOPPBEES,77.6967,77.53,-0.21,24-Aug-2026
GROWWCHEM,30.0861,29.96,-0.42,24-Aug-2026
HDFCPVTBAN,28.0725,28.0,-0.26,24-Aug-2026
GROWWRLTY,10.2877,10.28,-0.07,24-Aug-2026
MNC,34.2207,34.14,-0.24,24-Aug-2026
MOIPO,48.897,48.88,-0.03,24-Aug-2026
SHARIABEES,460.1439,457.81,-0.51,24-Aug-2026
HEALTHCARE,21.4214,21.42,-0.01,24-Aug-2026
AONETOTAL,12.0267,11.98,-0.39,24-Aug-2026
ECAPINSURE,24.2723,24.31,0.16,24-Aug-2026
LIQUIDSHRI,1118.5951,1118.88,0.03,24-Aug-2026
ABSLNN50ET,78.0003,77.8,-0.26,24-Aug-2026
MOHEALTH,51.3386,51.5,0.31,24-Aug-2026
BANKBETA,59.5919,59.43,-0.27,24-Aug-2026
PVTBANKADD,27.9732,27.9,-0.26,24-Aug-2026
HDFCNIFBAN,59.3063,59.12,-0.31,24-Aug-2026
GROWWSC250,10.6111,10.57,-0.39,24-Aug-2026
BBNPPGOLD,155.5162,155.35,-0.11,24-Aug-2026
MOPSE,99.5208,99.22,-0.3,24-Aug-2026
CONSUMIETF,124.65,124.39,-0.21,24-Aug-2026
MSCI360,10.196,10.19,-0.06,24-Aug-2026
SBIBPB,49.4654,49.77,0.62,24-Aug-2026
MOMENTUM,31.5302,31.43,-0.32,24-Aug-2026
AONENIFTY,10.0099,10.0,-0.1,24-Aug-2026
NIFTYQLITY,21.5978,21.54,-0.27,24-Aug-2026
NIF100IETF,28.3362,28.27,-0.23,24-Aug-2026
ABSLPSE,10.1754,10.14,-0.35,24-Aug-2026
SENSEXETF,79.9082,79.82,-0.11,24-Aug-2026
TOP15IETF,9.93,9.93,0.0,24-Aug-2026
FMCGADD,47.7414,47.74,-0.0,24-Aug-2026
EQUAL50,334.5856,333.43,-0.35,24-Aug-2026
SBIETFPB,281.3881,280.0,-0.49,24-Aug-2026
TWCGOLDETF,159.6855,160.02,0.21,24-Aug-2026
CONSUMER,12.3077,12.34,0.26,24-Aug-2026
VALUEAXIS,32.9631,32.86,-0.31,24-Aug-2026
EMULTIMQ,42.3385,42.22,-0.28,24-Aug-2026
SBIMIDMOM,64.0756,64.15,0.12,24-Aug-2026
IDFNIFTYET,267.8154,266.95,-0.32,24-Aug-2026
HDFCNIFIT,32.7162,32.47,-0.75,24-Aug-2026
HDFCVALUE,125.7454,125.36,-0.31,24-Aug-2026
SMALLGROWW,48.9281,48.84,-0.18,24-Aug-2026
MOMENTUM30,31.135,31.1,-0.11,24-Aug-2026
ABSLBANETF,59.0634,58.91,-0.26,24-Aug-2026
UNIONGOLD,157.1534,157.2,0.03,24-Aug-2026
SBIETFIT,339.5114,337.68,-0.54,24-Aug-2026
SENSEXBETA,857.9852,856.03,-0.23,24-Aug-2026
AONETMMQ50,10.3886,10.32,-0.66,24-Aug-2026
QUALITY30,20.963,20.9,-0.3,24-Aug-2026
HDFCPSUBK,86.4301,86.79,0.42,24-Aug-2026
NV20,13.966,13.95,-0.11,24-Aug-2026
SMALLIETF,18.4088,18.35,-0.32,24-Aug-2026
MSCIINDIA,30.141,30.02,-0.4,24-Aug-2026
NEXT50ETF,74.6,74.58,-0.03,24-Aug-2026
FLEXIADD,10.2095,10.18,-0.29,24-Aug-2026
LOWVOL,208.2022,207.67,-0.26,24-Aug-2026
MIDCAPBETA,236.843,236.97,0.05,24-Aug-2026
TOP20,8.9923,8.96,-0.36,24-Aug-2026
HDFCNIF100,26.256,26.2,-0.21,24-Aug-2026
MOM50,253.7896,253.75,-0.02,24-Aug-2026
ELM250,16.8046,16.83,0.15,24-Aug-2026
SBIETFQLTY,224.8528,223.45,-0.62,24-Aug-2026
NIFTYAXIS,268.2996,268.2,-0.04,24-Aug-2026
HSBCGOLD,139.6938,139.93,0.17,24-Aug-2026
ENEXT50,73.7909,73.47,-0.43,24-Aug-2026
QNIFTY,266.8087,266.6,-0.08,24-Aug-2026
BBNPNBETF,58.0534,58.08,0.05,24-Aug-2026
MOINFRA,59.179,59.09,-0.15,24-Aug-2026
MIDQ50ADD,25.4264,25.28,-0.58,24-Aug-2026
MOALPHA50,56.3509,56.46,0.19,24-Aug-2026
EBBETF0431,1435.3486,1437.67,0.16,24-Aug-2026
HEALTHAXIS,167.1515,167.12,-0.02,24-Aug-2026
SBINEQWETF,33.6245,33.58,-0.13,24-Aug-2026
PSUBANKADD,86.3852,86.72,0.39,24-Aug-2026
GROWWN200,11.4535,11.43,-0.21,24-Aug-2026
GROWWMC150,234.9432,233.7,-0.53,24-Aug-2026
EMETAL,13.3711,13.34,-0.23,24-Aug-2026
TECH,33.5239,33.25,-0.82,24-Aug-2026
SETF10GILT,264.948,265.98,0.39,24-Aug-2026
PVTBANK,27.591,27.56,-0.11,24-Aug-2026
SBINMID150,23.4847,23.5,0.07,24-Aug-2026
MANUFGBEES,165.9447,165.67,-0.17,24-Aug-2026
IVZSENSEX,77.3978,77.44,0.05,24-Aug-2026
ELMDIV,36.7768,36.89,0.31,24-Aug-2026
PVTBKGROWW,27.6306,27.48,-0.55,24-Aug-2026
CONSUMAXIS,123.8141,123.75,-0.05,24-Aug-2026
NETF,263.8225,262.57,-0.47,24-Aug-2026
BANKADD,58.9785,58.96,-0.03,24-Aug-2026
MOOILGAS,11.2044,11.19,-0.13,24-Aug-2026
ITAXIS,337.3842,334.69,-0.8,24-Aug-2026
MOMNC,33.14,33.11,-0.09,24-Aug-2026
BANKBETF,58.5613,58.52,-0.07,24-Aug-2026
LICNETFGSC,29.5048,29.66,0.53,24-Aug-2026
BNKETFAXIS,594.0046,593.78,-0.04,24-Aug-2026
ITADD,32.4715,32.23,-0.74,24-Aug-2026
SBIETFCON,124.1708,123.84,-0.27,24-Aug-2026
MONIFTY100,25.5494,25.5,-0.19,24-Aug-2026
BANKPSU,86.1634,86.44,0.32,24-Aug-2026
GROWWNXT50,74.3845,74.5,0.16,24-Aug-2026
MOQUALITY,202.7499,202.31,-0.22,24-Aug-2026
DIVIDEND,35.8603,35.61,-0.7,24-Aug-2026
NEXT30ADD,43.379,43.35,-0.07,24-Aug-2026
INFRA,12.168,12.12,-0.39,24-Aug-2026
HDFCQUAL,59.3546,59.18,-0.29,24-Aug-2026
GROWWPSUBK,85.6684,85.85,0.21,24-Aug-2026
HDFCNIMEG,133.7601,132.79,-0.73,24-Aug-2026
HDFCLOWVOL,20.7993,20.74,-0.29,24-Aug-2026
LICNETFN50,271.9054,270.61,-0.48,24-Aug-2026
SNXT50BETA,96.0541,96.11,0.06,24-Aug-2026
GROWWLOVOL,10.4617,10.4,-0.59,24-Aug-2026
MONEXT50,73.9711,73.73,-0.33,24-Aug-2026
NIFTYBETF,249.4295,248.18,-0.5,24-Aug-2026
SENSEXAXIS,80.356,80.2,-0.19,24-Aug-2026
BANK10ADD,16.9347,16.91,-0.15,24-Aug-2026
BSLSENETFG,78.0787,78.17,0.12,24-Aug-2026
MON50EQUAL,33.5554,33.5,-0.17,24-Aug-2026
LARGEMID50,36.7823,36.75,-0.09,24-Aug-2026
EQUAL200,11.855,13.97,17.84,24-Aug-2026
NPBET,285.394,288.99,1.26,24-Aug-2026
ESG,41.7222,41.58,-0.34,24-Aug-2026
HYBRIDETF,10.1283,10.12,-0.08,24-Aug-2026
CONS,12.3804,12.37,-0.08,24-Aug-2026
MOLOWVOL,36.6936,36.57,-0.34,24-Aug-2026
ITBETA,322.013,320.0,-0.63,24-Aug-2026
MIDBANKADD,17.5339,17.54,0.03,24-Aug-2026
VALUE,16.1901,16.13,-0.37,24-Aug-2026
MOMGF,164.8635,164.7,-0.1,24-Aug-2026
MOBANK10,16.9394,16.96,0.12,24-Aug-2026
MOSERVICE,31.0444,31.0,-0.14,24-Aug-2026
IVZBANKNF,57.4779,57.45,-0.05,24-Aug-2026
ABSL10BANK,169.2673,169.1,-0.1,24-Aug-2026
ENIFTY,24.4198,24.3,-0.49,24-Aug-2026
GROWWPSE,98.3224,97.65,-0.68,24-Aug-2026
EBANK10,16.8092,16.85,0.24,24-Aug-2026
MSCIADD,29.8335,29.71,-0.41,24-Aug-2026
GILT10BETA,26.6188,26.35,-1.01,24-Aug-2026
ABGSEC,114.5433,114.87,0.29,24-Aug-2026
ESENSEX,77.9436,77.65,-0.38,24-Aug-2026
GSEC5IETF,66.3487,66.03,-0.48,24-Aug-2026
LICNFNHGP,278.3143,278.9,0.21,24-Aug-2026
NEXT50ADD,74.4357,74.36,-0.1,24-Aug-2026
SBIVALETF,14.8009,14.75,-0.34,24-Aug-2026
MOMETAL,13.3823,13.33,-0.39,24-Aug-2026
GILT5BETA,66.4106,66.08,-0.5,24-Aug-2026
LICNETFSEN,874.6333,872.06,-0.29,24-Aug-2026
GSEC10YEAR,30.4971,30.38,-0.38,24-Aug-2026
SENSEXADD,79.8623,79.77,-0.12,24-Aug-2026
MIDCAPADD,23.4855,23.45,-0.15,24-Aug-2026
GSEC10ADD,26.7438,26.91,0.62,24-Aug-2026
GSEC10IETF,264.4613,263.61,-0.32,24-Aug-2026
EBANKNIFTY,58.089,58.0,-0.15,24-Aug-2026
ABSLMSCIN,29.808,29.65,-0.53,24-Aug-2026
GSEC10ABSL,112.6781,113.4,0.64,24-Aug-2026
LIQUIDBETA,1005.4314,1005.42,-0.0,24-Aug-2026
BANK10BETF,20.8422,20.86,0.09,24-Aug-2026
