date,symbol,action,qty,price,value
2022-08-30,BANKBEES,BUY,734.98,400.03,294104.15
2022-08-30,MON100,BUY,1780.38,99.06,176416.61
2022-09-30,BANKBEES,SELL,734.98,390.97,287272.08
2022-09-30,MON100,SELL,1780.38,91.04,162039.97
2022-09-30,PSUBNKBEES,BUY,9833.45,33.18,326338.67
2022-09-30,JUNIORBEES,BUY,873.95,447.84,391504.59
2022-10-31,PSUBNKBEES,SELL,9833.45,38.26,376137.99
2022-10-31,BANKBEES,BUY,822.51,417.33,343362.07
2022-10-31,JUNIORBEES,BUY,42.51,449.56,19115.29
2022-11-30,JUNIORBEES,SELL,366.78,461.18,169100.99
2022-11-30,BANKBEES,SELL,338.8,436.84,147959.74
2022-11-30,PSUBNKBEES,BUY,4754.4,44.44,211343.58
2022-11-30,BANKBEES,BUY,0.0,437.02,0.0
2022-11-30,MAFANG,BUY,4466.48,37.86,169140.81
2022-12-30,PSUBNKBEES,BUY,807.83,47.82,38641.43
2022-12-30,BANKBEES,BUY,126.94,435.57,55307.02
2022-12-30,JUNIORBEES,BUY,163.65,447.32,73227.11
2022-12-30,MAFANG,BUY,1152.05,37.81,43569.34
2023-01-31,JUNIORBEES,SELL,713.32,414.6,295652.94
2023-01-31,BANKBEES,SELL,610.64,412.3,251689.9
2023-01-31,PSUBNKBEES,SELL,2867.49,44.28,126937.69
2023-01-31,MAFANG,SELL,2767.37,41.85,115784.11
2023-01-31,ITBEES,BUY,3848.07,31.01,119349.7
2023-01-31,GOLDBEES,BUY,7660.79,48.68,373037.2
2023-01-31,LIQUIDBEES,BUY,294.99,1000.19,295136.67
2023-02-28,MAFANG,SELL,216.37,44.73,9675.67
2023-02-28,ITBEES,SELL,38.09,30.93,1178.02
2023-02-28,LIQUIDBEES,SELL,0.15,999.79,150.62
2023-02-28,PSUBNKBEES,BUY,215.79,40.51,8743.88
2023-02-28,GOLDBEES,BUY,109.4,47.42,5189.19
2023-03-31,PSUBNKBEES,SELL,2910.52,41.07,119504.5
2023-03-31,MAFANG,SELL,420.01,49.49,20780.05
2023-03-31,ITBEES,SELL,135.99,29.83,4055.84
2023-03-31,GOLDBEES,SELL,1060.52,51.06,54133.73
2023-03-31,LIQUIDBEES,SELL,20.64,999.81,20627.27
2023-04-28,ITBEES,SELL,3673.98,28.85,105978.19
2023-04-28,GOLDBEES,SELL,6709.67,51.24,343698.64
2023-04-28,LIQUIDBEES,SELL,274.2,999.8,274066.91
2023-04-28,PSUBNKBEES,BUY,5710.08,46.05,263023.49
2023-04-28,JUNIORBEES,BUY,753.81,418.47,315546.12
2023-04-28,MAFANG,BUY,2067.88,49.15,101666.47
2023-05-31,MAFANG,SELL,1865.59,59.06,110145.22
2023-05-31,PSUBNKBEES,SELL,5710.08,44.74,255398.25
2023-05-31,JUNIORBEES,SELL,272.02,444.14,120780.84
2023-05-31,BANKBEES,BUY,397.35,448.84,178401.12
2023-06-30,BANKBEES,BUY,97.49,454.57,44328.65
2023-06-30,JUNIORBEES,BUY,99.37,464.35,46154.79
2023-06-30,MAFANG,BUY,488.32,61.96,30266.38
2023-07-31,BANKBEES,SELL,494.84,464.43,229748.55
2023-07-31,PSUBNKBEES,BUY,5591.39,51.39,287429.43
2023-07-31,PHARMABEES,BUY,18850.77,15.24,287429.43
2023-07-31,JUNIORBEES,BUY,136.77,480.36,65719.48
2023-07-31,MAFANG,BUY,587.36,65.72,38615.0
2023-08-31,MAFANG,SELL,659.66,63.79,42065.58
2023-08-31,JUNIORBEES,SELL,143.61,471.69,67720.28
2023-08-31,PSUBNKBEES,SELL,1054.41,49.77,52462.39
2023-08-31,PHARMABEES,SELL,4118.16,15.33,63099.87
2023-08-31,ITBEES,BUY,6826.68,32.73,223480.78
2023-08-31,MAFANG,BUY,0.0,63.81,0.0
2023-09-29,PSUBNKBEES,SELL,513.89,58.45,30026.95
2023-09-29,PHARMABEES,BUY,285.76,15.66,4477.26
2023-09-29,ITBEES,BUY,195.91,33.5,6564.3
2023-09-29,JUNIORBEES,BUY,14.81,479.03,7097.56
2023-09-29,MAFANG,BUY,227.81,61.45,14003.76
2023-10-31,MAFANG,SELL,1164.13,60.41,70301.28
2023-10-31,JUNIORBEES,SELL,589.13,467.63,275409.08
2023-10-31,PSUBNKBEES,SELL,1932.93,54.82,105929.83
2023-10-31,PHARMABEES,SELL,15018.37,14.92,223962.05
2023-10-31,ITBEES,SELL,3471.21,32.26,111959.79
2023-10-31,PSUBNKBEES,BUY,0.0,54.84,0.0
2023-10-31,GOLDBEES,BUY,6877.12,52.07,358201.86
2023-10-31,SILVERBEES,BUY,2015.52,71.05,143254.09
2023-10-31,LIQUIDBEES,BUY,283.24,1000.2,283385.04
2023-11-30,PSUBNKBEES,SELL,2090.16,56.02,117052.91
2023-11-30,GOLDBEES,SELL,6877.12,53.14,365336.12
2023-11-30,SILVERBEES,SELL,2015.52,74.6,150302.7
2023-11-30,LIQUIDBEES,SELL,283.24,999.8,283101.77
2023-11-30,PHARMABEES,BUY,14216.05,16.48,234397.74
2023-11-30,ITBEES,BUY,3260.87,34.41,112230.01
2023-11-30,MID150BEES,BUY,1711.3,164.27,281204.15
2023-11-30,MAFANG,BUY,825.08,68.92,56884.41
2023-12-29,MAFANG,SELL,797.03,73.0,58162.09
2023-12-29,ITBEES,SELL,2110.33,37.35,78802.37
2023-12-29,PHARMABEES,SELL,14216.05,17.09,242830.89
2023-12-29,MID150BEES,SELL,1711.3,174.99,299378.74
2023-12-29,PSUBNKBEES,BUY,2767.16,63.46,175664.13
2023-12-29,BANKBEES,BUY,356.55,492.53,175664.13
2023-12-29,ITBEES,BUY,0.0,37.37,0.0
2023-12-29,GOLDBEES,BUY,3926.42,53.67,210796.96
2023-12-29,LIQUIDBEES,BUY,210.69,1000.2,210796.96
2023-12-29,JUNIORBEES,BUY,244.5,567.47,138789.67
2024-01-31,BANKBEES,SELL,356.55,468.67,167053.2
2024-01-31,GOLDBEES,SELL,3926.42,53.34,209369.66
2024-01-31,LIQUIDBEES,SELL,210.69,999.79,210584.14
2024-01-31,ITBEES,BUY,1760.28,38.79,68297.98
2024-01-31,PSUBNKBEES,BUY,833.56,69.61,58044.5
2024-01-31,PHARMABEES,BUY,13741.83,18.23,250638.85
2024-01-31,JUNIORBEES,BUY,267.0,587.82,156994.97
2024-01-31,MAFANG,BUY,710.76,75.8,53888.28
2024-02-29,MAFANG,SELL,683.35,83.34,56935.35
2024-02-29,ITBEES,SELL,1374.81,39.96,54923.72
2024-02-29,PSUBNKBEES,SELL,957.83,76.92,73658.69
2024-02-29,JUNIORBEES,SELL,122.9,627.63,77113.33
2024-02-29,PHARMABEES,SELL,3211.35,19.31,61980.18
2024-02-29,ITBEES,BUY,0.0,39.98,0.0
2024-02-29,MON100,BUY,847.5,143.88,121974.41
2024-03-28,MAFANG,SELL,242.62,87.54,21233.18
2024-03-28,ITBEES,SELL,5087.4,37.04,188394.1
2024-03-28,PSUBNKBEES,SELL,229.71,77.52,17803.04
2024-03-28,JUNIORBEES,SELL,388.6,643.68,250060.81
2024-03-28,PHARMABEES,SELL,820.19,19.27,15797.1
2024-03-28,MON100,SELL,847.5,149.35,126536.84
2024-03-28,PHARMABEES,BUY,0.0,19.27,0.0
2024-03-28,BANKBEES,BUY,389.32,480.49,187117.34
2024-03-28,GOLDBEES,BUY,3964.47,56.62,224540.81
2024-03-28,LIQUIDBEES,BUY,224.43,1000.2,224540.81
2024-04-30,MAFANG,SELL,86.88,96.05,8342.46
2024-04-30,PSUBNKBEES,SELL,102.64,84.32,8652.51
2024-04-30,BANKBEES,SELL,1.42,502.28,714.44
2024-04-30,GOLDBEES,SELL,123.4,60.87,7509.0
2024-04-30,AUTOBEES,BUY,855.05,227.84,194870.07
2024-04-30,PHARMABEES,BUY,402.12,19.27,7752.73
2024-04-30,LIQUIDBEES,BUY,9.3,1000.2,9308.88
2024-05-31,MAFANG,SELL,199.22,95.1,18939.95
2024-05-31,PSUBNKBEES,SELL,664.07,82.22,54585.62
2024-05-31,PHARMABEES,SELL,10112.41,19.11,193151.6
2024-05-31,BANKBEES,SELL,118.43,502.4,59481.83
2024-05-31,AUTOBEES,SELL,285.5,237.69,67841.47
2024-05-31,PSUBNKBEES,BUY,0.0,82.26,0.0
2024-05-31,BANKBEES,BUY,0.0,502.6,0.0
2024-05-31,GOLDBEES,BUY,3062.6,61.3,187800.54
2024-05-31,MON100,BUY,674.75,150.46,101553.78
2024-05-31,LIQUIDBEES,BUY,103.64,1000.2,103692.77
2024-06-28,GOLDBEES,SELL,6903.66,60.62,418359.9
2024-06-28,LIQUIDBEES,SELL,337.37,999.79,337201.69
2024-06-28,AUTOBEES,BUY,423.53,256.63,108724.93
2024-06-28,BANKBEES,BUY,204.86,537.31,110104.92
2024-06-28,PSUBNKBEES,BUY,1458.97,82.07,119768.1
2024-06-28,JUNIORBEES,BUY,401.56,761.19,305752.85
2024-06-28,MAFANG,BUY,737.25,94.4,69616.13
2024-06-28,MON100,BUY,259.16,162.84,42215.64
2024-07-31,MAFANG,SELL,44.83,98.21,4401.37
2024-07-31,PSUBNKBEES,SELL,3105.43,82.5,256131.88
2024-07-31,BANKBEES,SELL,474.32,528.83,250761.95
2024-07-31,AUTOBEES,SELL,993.09,271.32,269358.97
2024-07-31,JUNIORBEES,SELL,9.4,794.35,7466.41
2024-07-31,ITBEES,BUY,5942.75,43.69,259709.14
2024-07-31,PHARMABEES,BUY,11703.31,22.18,259709.14
2024-07-31,FMCGIETF,BUY,3993.53,65.01,259709.14
2024-07-31,JUNIORBEES,BUY,0.0,794.67,0.0
2024-07-31,MON100,BUY,59.63,156.33,9325.38
2024-08-30,FMCGIETF,SELL,3993.53,66.12,263959.97
2024-08-30,PHARMABEES,BUY,1915.59,23.74,45498.93
2024-08-30,ITBEES,BUY,1136.5,45.68,51930.02
2024-08-30,JUNIORBEES,BUY,91.59,801.96,73472.86
2024-08-30,MAFANG,BUY,614.25,94.79,58242.0
2024-08-30,MON100,BUY,215.98,159.97,34561.24
2024-09-30,MAFANG,SELL,818.55,94.86,77624.93
2024-09-30,MON100,SELL,375.93,163.05,61275.57
2024-09-30,JUNIORBEES,SELL,483.74,821.44,397244.27
2024-09-30,ITBEES,SELL,2035.13,44.92,91392.66
2024-09-30,PHARMABEES,SELL,4080.5,23.76,96904.14
2024-09-30,ITBEES,BUY,0.0,44.94,0.0
2024-09-30,FMCGIETF,BUY,3292.91,68.8,226632.42
2024-09-30,AUTOBEES,BUY,819.42,276.5,226632.42
2024-09-30,PHARMABEES,BUY,0.0,23.76,0.0
2024-09-30,MID150BEES,BUY,1174.39,228.83,268810.58
2024-09-30,MON100,BUY,0.0,163.11,0.0
2024-10-31,MAFANG,SELL,514.74,98.19,50527.13
2024-10-31,MON100,SELL,214.78,166.24,35692.93
2024-10-31,ITBEES,SELL,1893.95,43.54,82440.28
2024-10-31,PHARMABEES,SELL,3617.38,23.17,83772.85
2024-10-31,FMCGIETF,SELL,3292.91,62.17,204650.64
2024-10-31,AUTOBEES,SELL,819.42,239.88,196503.99
2024-10-31,MID150BEES,SELL,1174.39,214.96,252366.92
2024-10-31,BANKBEES,BUY,258.9,529.75,137190.02
2024-10-31,GOLDBEES,BUY,6404.43,66.93,428798.56
2024-10-31,MON100,BUY,0.0,166.3,0.0
2024-10-31,LIQUIDBEES,BUY,339.09,1000.2,339254.6
2024-11-29,MAFANG,SELL,21.18,111.42,2359.54
2024-11-29,PHARMABEES,SELL,5921.02,22.68,134221.58
