Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Loc,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage by Trigger Board,Stage by Pine Dashboard,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,RRGeng,Tier,Sources,Stale
OFSS,★,69.7,Buy Trigger Live · Bull,3/4 · no vol,NEUTRAL (-2) · NONE,CLEAN (0),✓ IN VA (upper),Pullback,,Bull,Weakening,5,8.5,80,80,11,2,2,47.9,08 Aug,None,—,3,STRONG 4/5,,05 Sep,C FAIR ⚠,Technology,11555,11089,4.2,-5.5,28.4,29%,11320,10820.7,4.4,13376.8,4.1,WEAKENING,Rigorous,Pullback,
PERSISTENT,★,67.7,Invalidated · Bull,2/4 · no vol,BULL (+5) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Accumulation,,Bull,—,1,8,46.5,90,1.9,4,4,49,04 Aug,None,—,3,STRONG 5/5,,04 Sep,C FAIR ⚠,Technology,5512,5268.2,4.6,-17.6,52.7,32%,5437.8,5165.6,5,6220.8,2.9,LEADING,Rigorous,EarlyBird,
PFC,,53.5,Armed Wait · Bull,3/4 · no PA,BULL (+4) · NONE,CLEAN (0),✓ IN VA (upper),Catalyst-Scan,,Bull,—,5,6,25,35,-5.5,2,2,63.7,06 Aug,SWG-PB,—,0,OK 2/5,,04 Sep,D WEAK ⚠,Financial Services,426.8,420.1,1.6,-13.7,7,60%,419.8,410,2.3,458.8,4,LAGGING,Discovery,Bull Catalyst,
POWERGRID,,32.4,Invalidated · Bull,2/4 · no PA,CAUTION (-5) · NONE,CLEAN (0),✗ BELOW VAL,Catalyst-Scan,below EMA20 / below value,Bull,—,1,5,15,0,-4.1,3,2,70.2,03 Aug,SWG-PB,—,0,WEAK 1/5,,03 Sep,F POOR ⚠,Utilities,281.6,288.9,-2.5,-12.2,16.4,54%,285.3,281.5,1.3,300.5,4,LAGGING,Discovery,Bull Catalyst,
RRKABEL,★,69.1,Buy Trigger Live · Bull,2/4 · no loc,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),"Breakout, Leader",,Bull,Weakening,5,9,92.5,70,10.7,2,2,60.6,08 Aug,None,—,1,STRONG 5/5,,03 Sep,B GOOD ⚠,Industrials,2569.1,2525.3,1.7,-7,48,18%,2580,2480.9,3.8,3114.6,5.4,LEADING,Rigorous,"Hunter, Leader",
SOLARINDS,,54.4,Wait for Pullback · Bull,1/4 · no PA,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Catalyst-Scan,thin R:R / below EMA20 / below value,Bull,Weakening,4,8.5,67.5,15,3.1,2,2,67.2,07 Aug,SWG-PB,—,0,STRONG 5/5,,05 Sep,B GOOD ⚠,Basic Materials,18119,18628,-2.7,-4.9,135,44%,18243,16857.7,7.6,19801,1.1,WEAKENING,Discovery,Bull Catalyst,
SPLPETRO,,64.2,Buy Trigger Live · Recovery,3/4 · no vol,BULL (+4) · NONE,CLEAN (0),✗ IN VA (lower),Rec-Catalyst-Scan,,Recovery,—,5,8,78.6,80,-0.4,2,2,43.7,05 Aug,None,—,3,,4/6 PART,05 Sep,C FAIR ⚠,Basic Materials,735.4,760.9,-3.4,-24.3,28.3,22%,760.9,691,9.2,958.7,2.8,LAGGING,Discovery,Recovery Catalyst,
SUMICHEM,,48.1,Wait for Pullback · Recovery,2/4 · no PA,NEUTRAL (+3) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Rec-Catalyst-Scan,below EMA20 (turn unconfirmed),Recovery,Weakening,4,10,81.8,30,8.1,2,3,66.1,06 Aug,None,—,0,,4/6 PART,02 Sep,D WEAK ⚠,Basic Materials,501.1,538.9,-7,-20.6,43.8,53%,538.9,489.6,9.1,665,2.6,LEADING,Discovery,Recovery Catalyst,
TECHM,★,68,Buy Trigger Live · Bull,2/4 · no vol,STRONG BULL (+11) · S2 — Spring/LPS Reversal,CLEAN (0),✓ ABOVE VAH,Accumulation,,Bull,—,5,10,70,90,3.8,1,1,55.4,06 Aug,None,—,1,OK 3/5,,03 Sep,D WEAK ⚠,Technology,1648.6,1575,4.7,-12.1,40.5,54%,1630,1564,4,1838.5,3.2,LEADING,Rigorous,"EarlyBird, Rec RS, Rec Early",
TITAN,,76.7,Armed Wait · Bull,2/4 · no PA,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,Bull,—,5,7.5,42,90,5.4,2,2,54,08 Aug,POS-BO,—,0,STRONG 4/5,,05 Sep,B GOOD ⚠,Consumer Cyclical,4827.2,4740.1,1.8,0,91.4,55%,4858.2,4650,4.3,6512.9,7.9,LEADING,Discovery,Bull Catalyst,
UNOMINDA,★,68.9,Invalidated · Recovery,2/4 · no loc,NEUTRAL (+3) · S1 — OB Retest + VP Support,CHOPPY (2),✓ ABOVE VAH,Recovery-Early,,Recovery,—,1,10,57.5,90,1.2,4,4,43.1,03 Aug,None,—,4,,6/6 FULL,06 Sep,C FAIR ⚠,Consumer Cyclical,1159.5,1162.4,-0.2,-15.7,67,71%,1162.4,1121,3.6,1382,5.3,LEADING,Rigorous,Rec Early,
VIJAYA,★,58.5,Wait for Pullback · Bull,1/4 · no PA,NEUTRAL (+1) · NONE,CLEAN (0),✓ IN VA (upper),Pullback,below value,Bull,Weakening,4,9,80,30,2.3,2,2,65.7,08 Aug,None,—,0,STRONG 5/5,,05 Sep,B GOOD ⚠,Healthcare,1360.3,1350.8,0.7,-5.6,78.9,56%,1360,1309.1,3.7,1584.4,4.4,WEAKENING,Rigorous,Pullback,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
