Symbol,Price,%Chg,Volume
TORNTPHARM,3932.2,-2.2,315842
NESTLEIND,1293.8,-0.93,744221
INDUSINDBK,892.45,-1.11,5907525
CANBK,151.81,-1.86,26875350
SAGILITY,51.69,-1.43,26027543
