Symbol,Catalyst,Signal_Label,Score,Stage,TT_Pass_Count,TT_Pass_All,TT_Failed_Gates,Pct_Above_52w_Low,Pct_Below_52w_High,JdK_RS_Ratio,RRG_Quadrant,VCP_Valid,VCP_Quality_Score,VCP_Contractions,Pivot_Price,Broke_Pivot,Days_Since_Pivot,Entry,SL,SL_pct,T1,T1_pct,R_Multiple,Catalyst_Reason
RRKABEL,None,None,20,2,8,True,,70.5,1.7,105.68,LEADING,False,50,"[{'high_date': '2025-02-01', 'high': 1300.98, 'low_date': '2025-02-18', 'low': 1103.12, 'pullback_pct': 15.21}, {'high_date': '2025-02-21', 'high': 1150.11, 'low_date': '2025-03-17', 'low': 854.24, 'pullback_pct': 25.73}, {'high_date': '2025-03-28', 'high': 942.8, 'low_date': '2025-04-07', 'low': 879.35, 'pullback_pct': 6.73}, {'high_date': '2025-05-30', 'high': 1417.89, 'low_date': '2025-06-20', 'low': 1310.38, 'pullback_pct': 7.58}, {'high_date': '2025-07-03', 'high': 1385.37, 'low_date': '2025-07-11', 'low': 1324.8, 'pullback_pct': 4.37}, {'high_date': '2025-07-18', 'high': 1467.29, 'low_date': '2025-07-28', 'low': 1365.68, 'pullback_pct': 6.92}, {'high_date': '2025-07-31', 'high': 1435.68, 'low_date': '2025-08-29', 'low': 1164.16, 'pullback_pct': 18.91}, {'high_date': '2025-09-23', 'high': 1289.2, 'low_date': '2025-09-26', 'low': 1214.82, 'pullback_pct': 5.77}, {'high_date': '2025-10-29', 'high': 1421.42, 'low_date': '2025-11-10', 'low': 1345.4, 'pullback_pct': 5.35}]",1421.42,True,47.0,1456.6,1393.91,4.3,1644.67,12.91,3.0,no valid VCP base
BHEL,None,None,20,2,8,True,,58.1,2.9,109.23,LEADING,False,50,"[{'high_date': '2025-01-31', 'high': 207.65, 'low_date': '2025-02-03', 'low': 195.83, 'pullback_pct': 5.69}, {'high_date': '2025-02-05', 'high': 208.57, 'low_date': '2025-02-18', 'low': 186.18, 'pullback_pct': 10.74}, {'high_date': '2025-02-20', 'high': 199.75, 'low_date': '2025-02-28', 'low': 178.79, 'pullback_pct': 10.49}, {'high_date': '2025-04-03', 'high': 218.22, 'low_date': '2025-04-07', 'low': 207.26, 'pullback_pct': 5.02}, {'high_date': '2025-04-29', 'high': 230.84, 'low_date': '2025-05-09', 'low': 216.18, 'pullback_pct': 6.35}, {'high_date': '2025-05-28', 'high': 266.05, 'low_date': '2025-06-19', 'low': 246.68, 'pullback_pct': 7.28}, {'high_date': '2025-06-30', 'high': 265.74, 'low_date': '2025-08-01', 'low': 231.6, 'pullback_pct': 12.85}, {'high_date': '2025-08-05', 'high': 248.25, 'low_date': '2025-08-29', 'low': 208.01, 'pullback_pct': 16.21}, {'high_date': '2025-10-06', 'high': 245.31, 'low_date': '2025-10-24', 'low': 230.94, 'pullback_pct': 5.86}, {'high_date': '2025-12-01', 'high': 291.0, 'low_date': '2025-12-08', 'low': 269.7, 'pullback_pct': 7.32}]",291.0,False,14.0,282.6,271.52,3.92,315.85,11.77,3.0,no valid VCP base
3MINDIA,None,None,20,2,8,True,,39.2,1.6,108.17,LEADING,False,50,"[{'high_date': '2025-04-03', 'high': 28480.77, 'low_date': '2025-04-07', 'low': 26966.48, 'pullback_pct': 5.32}, {'high_date': '2025-04-16', 'high': 30196.3, 'low_date': '2025-05-09', 'low': 28559.42, 'pullback_pct': 5.42}, {'high_date': '2025-05-21', 'high': 29793.22, 'low_date': '2025-06-23', 'low': 27910.56, 'pullback_pct': 6.32}, {'high_date': '2025-08-07', 'high': 32000.0, 'low_date': '2025-09-29', 'low': 28835.0, 'pullback_pct': 9.89}, {'high_date': '2025-11-17', 'high': 36130.0, 'low_date': '2025-12-05', 'low': 34125.0, 'pullback_pct': 5.55}]",36130.0,False,28.0,35565.0,34430.36,3.19,38968.93,9.57,3.0,no valid VCP base
SHRIRAMFIN,None,None,20,2,8,True,,69.7,1.4,115.36,LEADING,False,50,"[{'high_date': '2025-02-04', 'high': 570.7, 'low_date': '2025-02-11', 'low': 532.9, 'pullback_pct': 6.62}, {'high_date': '2025-03-24', 'high': 674.84, 'low_date': '2025-04-07', 'low': 607.56, 'pullback_pct': 9.97}, {'high_date': '2025-04-23', 'high': 696.51, 'low_date': '2025-05-02', 'low': 597.26, 'pullback_pct': 14.25}, {'high_date': '2025-05-07', 'high': 629.97, 'low_date': '2025-05-09', 'low': 595.14, 'pullback_pct': 5.53}, {'high_date': '2025-05-19', 'high': 670.69, 'low_date': '2025-05-30', 'low': 632.64, 'pullback_pct': 5.67}, {'high_date': '2025-06-10', 'high': 693.05, 'low_date': '2025-06-19', 'low': 645.35, 'pullback_pct': 6.88}, {'high_date': '2025-06-30', 'high': 699.43, 'low_date': '2025-08-28', 'low': 568.19, 'pullback_pct': 18.76}, {'high_date': '2025-09-19', 'high': 629.36, 'low_date': '2025-09-26', 'low': 602.38, 'pullback_pct': 4.29}, {'high_date': '2025-11-27', 'high': 867.65, 'low_date': '2025-12-03', 'low': 828.1, 'pullback_pct': 4.56}]",867.65,False,18.0,855.35,823.93,3.67,949.61,11.02,3.0,no valid VCP base
AIAENG,None,None,20,2,8,True,,29.7,0.0,109.89,LEADING,False,50,"[{'high_date': '2025-02-05', 'high': 3729.4, 'low_date': '2025-03-04', 'low': 3116.85, 'pullback_pct': 16.42}, {'high_date': '2025-03-25', 'high': 3383.11, 'low_date': '2025-04-07', 'low': 3075.22, 'pullback_pct': 9.1}, {'high_date': '2025-06-04', 'high': 3515.31, 'low_date': '2025-07-02', 'low': 3237.17, 'pullback_pct': 7.91}, {'high_date': '2025-07-09', 'high': 3441.1, 'low_date': '2025-08-28', 'low': 3001.7, 'pullback_pct': 12.77}, {'high_date': '2025-10-27', 'high': 3387.3, 'low_date': '2025-10-31', 'low': 3249.9, 'pullback_pct': 4.06}, {'high_date': '2025-12-03', 'high': 3895.3, 'low_date': '2025-12-11', 'low': 3638.2, 'pullback_pct': 6.6}]",3895.3,False,12.0,3893.8,3711.67,4.68,4440.2,14.03,3.0,no valid VCP base
JKTYRE,None,None,20,2,8,True,,87.0,0.9,109.2,LEADING,False,50,"[{'high_date': '2025-02-01', 'high': 321.11, 'low_date': '2025-02-17', 'low': 280.22, 'pullback_pct': 12.73}, {'high_date': '2025-02-20', 'high': 292.21, 'low_date': '2025-03-03', 'low': 251.17, 'pullback_pct': 14.04}, {'high_date': '2025-03-07', 'high': 277.19, 'low_date': '2025-03-17', 'low': 261.29, 'pullback_pct': 5.74}, {'high_date': '2025-03-24', 'high': 294.39, 'low_date': '2025-03-28', 'low': 275.01, 'pullback_pct': 6.58}, {'high_date': '2025-04-03', 'high': 290.13, 'low_date': '2025-04-07', 'low': 260.94, 'pullback_pct': 10.06}, {'high_date': '2025-05-21', 'high': 390.04, 'low_date': '2025-06-03', 'low': 364.72, 'pullback_pct': 6.49}, {'high_date': '2025-06-09', 'high': 379.59, 'low_date': '2025-06-23', 'low': 339.24, 'pullback_pct': 10.63}, {'high_date': '2025-07-17', 'high': 372.5, 'low_date': '2025-08-14', 'low': 311.95, 'pullback_pct': 16.26}, {'high_date': '2025-09-23', 'high': 381.05, 'low_date': '2025-09-29', 'low': 355.15, 'pullback_pct': 6.8}, {'high_date': '2025-11-12', 'high': 466.85, 'low_date': '2025-11-25', 'low': 441.7, 'pullback_pct': 5.39}, {'high_date': '2025-12-04', 'high': 474.0, 'low_date': '2025-12-10', 'low': 445.0, 'pullback_pct': 6.12}]",474.0,False,11.0,469.7,448.59,4.49,533.04,13.48,3.0,no valid VCP base
NAVINFLUOR,None,None,20,2,8,True,,91.4,0.0,109.05,LEADING,False,50,"[{'high_date': '2025-02-05', 'high': 4241.81, 'low_date': '2025-02-28', 'low': 3752.83, 'pullback_pct': 11.53}, {'high_date': '2025-04-02', 'high': 4236.12, 'low_date': '2025-04-08', 'low': 3838.97, 'pullback_pct': 9.38}, {'high_date': '2025-05-07', 'high': 4655.82, 'low_date': '2025-05-16', 'low': 4231.48, 'pullback_pct': 9.11}, {'high_date': '2025-07-09', 'high': 5104.54, 'low_date': '2025-07-18', 'low': 4864.1, 'pullback_pct': 4.71}, {'high_date': '2025-07-30', 'high': 5184.05, 'low_date': '2025-08-08', 'low': 4808.35, 'pullback_pct': 7.25}, {'high_date': '2025-08-18', 'high': 5037.11, 'low_date': '2025-09-05', 'low': 4658.42, 'pullback_pct': 7.52}, {'high_date': '2025-09-17', 'high': 4963.69, 'low_date': '2025-09-29', 'low': 4547.33, 'pullback_pct': 8.39}, {'high_date': '2025-10-21', 'high': 5180.96, 'low_date': '2025-10-30', 'low': 4971.48, 'pullback_pct': 4.04}, {'high_date': '2025-11-06', 'high': 6074.5, 'low_date': '2025-12-08', 'low': 5563.0, 'pullback_pct': 8.42}]",6074.5,True,39.0,6144.0,5875.82,4.36,6948.54,13.09,3.0,no valid VCP base
HEROMOTOCO,None,None,20,2,8,True,,73.2,6.2,106.36,WEAKENING,False,50,"[{'high_date': '2025-02-01', 'high': 4149.55, 'low_date': '2025-03-17', 'low': 3375.28, 'pullback_pct': 18.66}, {'high_date': '2025-04-02', 'high': 3656.32, 'low_date': '2025-04-07', 'low': 3407.94, 'pullback_pct': 6.79}, {'high_date': '2025-04-24', 'high': 3821.12, 'low_date': '2025-05-02', 'low': 3611.34, 'pullback_pct': 5.49}, {'high_date': '2025-05-19', 'high': 4239.7, 'low_date': '2025-06-05', 'low': 4037.95, 'pullback_pct': 4.76}, {'high_date': '2025-06-11', 'high': 4261.54, 'low_date': '2025-07-11', 'low': 4076.41, 'pullback_pct': 4.34}, {'high_date': '2025-10-21', 'high': 5538.55, 'low_date': '2025-11-07', 'low': 5194.75, 'pullback_pct': 6.21}, {'high_date': '2025-12-05', 'high': 6229.09, 'low_date': '2025-12-10', 'low': 5831.83, 'pullback_pct': 6.38}]",6229.09,False,10.0,5845.56,5730.76,1.96,6189.96,5.89,3.0,no valid VCP base
CUMMINSIND,None,None,20,2,8,True,,70.8,1.3,105.2,WEAKENING,False,50,"[{'high_date': '2025-01-31', 'high': 2855.29, 'low_date': '2025-02-03', 'low': 2646.24, 'pullback_pct': 7.32}, {'high_date': '2025-02-06', 'high': 2905.31, 'low_date': '2025-02-19', 'low': 2653.09, 'pullback_pct': 8.68}, {'high_date': '2025-02-21', 'high': 2796.93, 'low_date': '2025-02-28', 'low': 2680.36, 'pullback_pct': 4.17}, {'high_date': '2025-03-06', 'high': 2931.98, 'low_date': '2025-03-12', 'low': 2779.77, 'pullback_pct': 5.19}, {'high_date': '2025-03-24', 'high': 3013.98, 'low_date': '2025-04-07', 'low': 2673.76, 'pullback_pct': 11.29}, {'high_date': '2025-04-23', 'high': 2924.88, 'low_date': '2025-05-09', 'low': 2698.46, 'pullback_pct': 7.74}, {'high_date': '2025-06-09', 'high': 3364.62, 'low_date': '2025-06-19', 'low': 3192.53, 'pullback_pct': 5.11}, {'high_date': '2025-09-17', 'high': 4106.73, 'low_date': '2025-10-01', 'low': 3831.58, 'pullback_pct': 6.7}]",4106.73,True,89.0,4519.35,4385.56,2.96,4920.72,8.88,3.0,no valid VCP base
NUVAMA,None,None,20,2,8,True,,58.5,7.9,106.09,LEADING,False,50,"[{'high_date': '2025-01-31', 'high': 1006.78, 'low_date': '2025-02-03', 'low': 919.23, 'pullback_pct': 8.7}, {'high_date': '2025-02-05', 'high': 1079.21, 'low_date': '2025-02-18', 'low': 949.21, 'pullback_pct': 12.05}, {'high_date': '2025-02-20', 'high': 1016.46, 'low_date': '2025-03-03', 'low': 916.71, 'pullback_pct': 9.81}, {'high_date': '2025-03-10', 'high': 994.98, 'low_date': '2025-03-13', 'low': 909.43, 'pullback_pct': 8.6}, {'high_date': '2025-03-21', 'high': 1141.61, 'low_date': '2025-04-02', 'low': 1036.29, 'pullback_pct': 9.23}, {'high_date': '2025-04-03', 'high': 1083.87, 'low_date': '2025-04-07', 'low': 958.98, 'pullback_pct': 11.52}, {'high_date': '2025-04-25', 'high': 1127.84, 'low_date': '2025-05-06', 'low': 1030.76, 'pullback_pct': 8.61}, {'high_date': '2025-06-09', 'high': 1434.85, 'low_date': '2025-06-16', 'low': 1333.46, 'pullback_pct': 7.07}, {'high_date': '2025-06-17', 'high': 1396.34, 'low_date': '2025-06-20', 'low': 1299.56, 'pullback_pct': 6.93}, {'high_date': '2025-06-27', 'high': 1564.86, 'low_date': '2025-07-04', 'low': 1371.03, 'pullback_pct': 12.39}, {'high_date': '2025-07-17', 'high': 1476.3, 'low_date': '2025-09-11', 'low': 1164.93, 'pullback_pct': 21.09}, {'high_date': '2025-09-12', 'high': 1216.67, 'low_date': '2025-09-25', 'low': 1139.07, 'pullback_pct': 6.38}, {'high_date': '2025-10-28', 'high': 1405.3, 'low_date': '2025-10-31', 'low': 1339.12, 'pullback_pct': 4.71}, {'high_date': '2025-11-13', 'high': 1460.53, 'low_date': '2025-11-25', 'low': 1381.29, 'pullback_pct': 5.43}, {'high_date': '2025-11-28', 'high': 1478.36, 'low_date': '2025-12-10', 'low': 1389.31, 'pullback_pct': 6.02}]",1478.36,False,17.0,1441.02,1380.55,4.2,1622.43,12.59,3.0,no valid VCP base
