Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
Ingersoll-Rand,500210,INGERRAND,INE177A01018,Industrial Products,"Compressors, Pumps & Diesel Engines",4769.75,267.51,273.66,265.59,0.01,1.87,27.31,4169.19,4533.64
Inox India,544046,INOXINDIA,INE616N01034,Industrial Products,Other Industrial Products,2226.50,254.85,116.65,34.69,0.07,1.44,14.19,1594.21,1959.66
Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,1951.00,1375.16,1141.97,28.42,0.10,2.49,10.15,1627.92,1823.68
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,1040.00,321.72,54.39,6.42,0.43,2.26,10.49,842.56,880.30
K P R Mill Ltd,532889,KPRMILL,INE930H01031,Textiles & Apparels,Other Textile Products,1135.00,912.34,1107.84,23.85,0.10,4.31,13.14,1030.61,1109.01
Kennametal India,505890,KENNAMET,INE717A01029,Industrial Manufacturing,Industrial Products,4657.95,196.00,18.30,888.67,0.00,2.35,17.57,2863.32,3607.45
Kingfa Science,524019,KINGFA,INE473D01015,Industrial Products,Plastic Products - Industrial,6018.45,225.67,66.21,94.34,0.01,4.06,12.73,4874.17,5571.40
Knowledge Marine,543273,KMEW,INE0CJD01029,Engineering Services,Dredging,2983.80,131.07,74.34,9.03,0.39,1.22,13.03,2019.02,2607.31
KRBL,530813,KRBL,INE001B01026,Agricultural Food & other Products,Other Agricultural Products,430.80,758.20,932.53,134.39,0.03,6.73,10.11,368.22,391.10
L T Foods,532783,LTFOODS,INE818H01020,Agricultural Food & other Products,Other Agricultural Products,452.00,640.32,910.50,7.20,0.36,1.76,7.59,404.38,417.86
Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,1945.50,1090.53,1623.50,9.91,0.48,1.33,9.03,1343.93,1728.80
Lohia Corp,544839,LCL,INE0QJW01029,Industrial Manufacturing,Industrial Products,555.80,193.45,325.16,19.57,0.34,1.06,17.48,507.46,532.89
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,2129.20,264.23,259.37,10.31,0.51,2.00,21.30,1515.07,1739.53
Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,335.00,521.27,458.13,28.54,0.11,5.17,11.80,237.77,292.43
MTAR Technologie,543270,MTARTECH,INE864I01014,Electrical Equipment,Other Electrical Equipment,7730.00,134.60,191.66,5.66,0.46,1.56,6.83,5304.49,6798.56
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,8720.00,789.70,893.57,9.72,0.32,1.46,11.56,6895.76,8026.18
Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,744.00,85.11,232.58,2.95,0.07,2.23,6.09,604.26,680.32
Neuland Labs.,524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,23973.70,497.76,346.68,26.41,0.16,2.09,14.13,17388.94,21103.07
Paras Defence,543367,PARAS,INE045601023,Aerospace & Defense,Aerospace & Defense,1504.05,95.93,24.61,24.85,0.04,3.23,9.45,996.29,1313.91
