Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Loc,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,RRGeng,Tier,Sources,Stale
LALPATHLAB,★,64.3,Buy Trigger Live · Bull,2/4 · no vol,BULL (+4) · NONE,CLEAN (1),✓ ABOVE VAH,Leader,,⚠ thin R:R,Bull,—,5,8.0,80.0,90.0,5.7,2,54.8,7/8,None,—,3,OK 3/5,,3/9,D WEAK ⚠,Healthcare,1896.4,1805.2,5.1,-1.0,56.0,10.4L,1875.5,1690.6,9.9,2156.8,1.5,LEADING,Rigorous,Leader,
EMCURE,★,63.7,Buy Trigger Live · Bull,2/4 · no vol,STRONG BULL (+11) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pullback,,⚠ thin R:R,Bull,—,5,8.0,77.5,50.0,3.4,2,60.7,8/8,None,—,3,STRONG 5/5,,3/9,C FAIR ⚠,Healthcare,1923.7,1892.2,1.7,-2.7,48.4,87K,1908.0,1766.4,7.4,2162.9,1.8,WEAKENING,Rigorous,Pullback,
SAILIFE,,63.1,Armed Wait · Bull,2/4 · no PA,STRONG BULL (+11) · S1 — OB Retest + VP Support,CLEAN (1),✓ ABOVE VAH,Pyramid,24 @ 1049.2 · SL→1144.0 · add 3 @1%,,Bull,—,5,5.0,51.0,60.0,6.1,2,58.8,8/8,None,—,0,STRONG 5/5,,6/9,B GOOD ⚠,Healthcare,1306.9,1300.5,0.5,-0.7,79.8,3.9L,1311.0,1229.9,6.2,1478.0,2.1,LEADING,Rigorous,Portfolio,
HEXT,,62.1,Invalidated · Recovery,2/4 · no loc,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Rec-Catalyst-Scan,,,Recovery,—,1,10.0,77.3,80.0,9.3,4,51.7,3/8,None,—,3,,5/6 FULL,4/9,D WEAK ⚠,Technology,577.9,593.1,-2.6,-28.9,42.6,15.8L,618.3,566.9,8.3,807.5,3.7,LEADING,Discovery,Recovery Catalyst,
INDGN,★,60.6,Wait for Pullback · Recovery,2/4 · no PA,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (1),✓ IN VA (upper),Recovery-Early,,thin R:R,Recovery,—,4,9.8,74.0,90.0,-2.6,1,47.8,4/8,None,—,0,,6/6 FULL,4/9,D WEAK ⚠,Healthcare,528.5,508.5,3.9,-12.3,58.8,2.1L,523.2,490.1,6.3,596.8,2.2,LAGGING,Rigorous,Rec Early,
REDINGTON,★,60.5,Wait for Pullback · Bull,1/4 · no PA,BULL (+6) · NONE,CLEAN (1),✓ ABOVE VAH,Leader,,thin R:R / extended,Bull,—,4,9.5,83.5,80.0,9.5,1,49.2,7/8,None,—,0,OK 3/5,,3/9,C FAIR ⚠,Technology,313.8,278.1,12.9,-8.0,17.9,51.4L,289.2,261.0,9.7,333.8,1.6,LEADING,Rigorous,Leader,
LODHA,★,60.0,Invalidated · Bull,1/4 · no PA,STRONG BULL (+11) · S2 — Spring/LPS Reversal,CLEAN (1),✓ ABOVE VAH,Leader,,,Bull,—,1,8.5,66.0,90.0,20.5,3,44.9,5/8,None,—,0,OK 3/5,,2/9,D WEAK ⚠,Real Estate,1304.5,1301.4,0.2,-10.8,38.7,48.4L,1303.0,1194.9,8.3,1526.2,2.1,LEADING,Rigorous,Leader,
TECHM,,60.0,Buy Trigger Live · Recovery,3/4 · no vol,STRONG BULL (+13) · S2 — Spring/LPS Reversal,CLEAN (0),✓ ABOVE VAH,"Recovery-RS, Recovery-Early, Rec-Catalyst-Scan",,⚠ extended / thin R:R,Recovery,—,5,10.0,71.0,40.0,3.7,1,71.3,6/8,None,—,3,,6/6 FULL,3/9,D WEAK ⚠,Technology,1683.3,1635.2,2.9,-11.4,41.2,21.7L,1642.1,1583.6,3.6,1854.0,3.6,LEADING,Rigorous,"EarlyBird, Rec RS, Rec Early, Recovery Catalyst",
VIJAYA,★,59.8,Armed Wait · Bull,1/4 · no PA,BULL (+4) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,,Bull,—,5,9.5,82.5,30.0,2.3,2,61.3,8/8,None,—,0,STRONG 5/5,,5/9,B GOOD ⚠,Healthcare,1368.6,1359.1,0.7,-4.7,78.9,80K,1372.8,1309.1,4.6,1588.9,3.4,WEAKENING,Rigorous,Pullback,
COLPAL,★,59.4,Armed Wait · Recovery,1/4 · no PA,BULL (+7) · NONE,CLEAN (0),✓ IN VA (upper),"Recovery-RS, Recovery-Early, Rec-Catalyst-Scan",,,Recovery,—,5,10.0,81.6,100.0,-1.5,1,43.3,2/8,None,—,0,,6/6 FULL,4/9,D WEAK ⚠,Consumer Defensive,2096.8,2138.1,-1.9,-13.1,41.6,17.7L,2174.9,2109.3,3.0,2504.0,5.0,LAGGING,Rigorous,"Rec RS, Rec Early, Recovery Catalyst",
CHENNPETRO,★,58.9,Wait for Pullback · Bull,0/4 · no PA,NEUTRAL (+2) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,thin R:R,Bull,—,4,9.5,81.0,40.0,5.6,2,62.9,8/8,None,—,0,STRONG 5/5,,5/9,B GOOD ⚠,Energy,1247.3,1180.5,5.7,-10.3,4.5,9.0L,1214.0,1069.2,11.9,1496.5,2.0,WEAKENING,Rigorous,Pullback,
UNOMINDA,,58.4,Invalidated · Recovery,0/4 · no PA,BULL (+4) · S1 — OB Retest + VP Support,CLEAN (1),✓ ABOVE VAH,Recovery-Early,,,Recovery,—,1,9.2,51.0,50.0,1.1,4,53.4,4/8,None,—,0,,6/6 FULL,6/9,C FAIR ⚠,Consumer Cyclical,1177.5,1163.9,1.2,-15.5,67.8,5.2L,1168.0,1121.0,4.0,1382.0,4.6,LEADING,Rigorous,Rec Early,
DATAPATTNS,★,58.3,Wait for Pullback · Bull,1/4 · no PA,BULL (+7) · NONE,CLEAN (0),✓ IN VA (upper),Pullback,,below value,Bull,—,4,6.0,61.0,40.0,1.4,2,61.3,8/8,None,—,0,STRONG 4/5,,5/9,C FAIR ⚠,Industrials,4457.6,4381.7,1.7,-10.4,100.0,6.9L,4442.0,4257.0,4.2,5402.8,5.2,WEAKENING,Rigorous,Pullback,
