Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Arm,Armed,Loc,→Zone,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,Room,RRGeng,Tier,Sources,Stale
BAJFINANCE,,38.9,Wait for Pullback · Bull,4/5 · weak bar · PA 2b · PB · ↑M,NEUTRAL (-2) · NONE,CLEAN (0),✓ IN VA (upper),"Pullback, Armed","HELD 93 @ 1,075.7",True,"12d · trg 1,079.90 · re",AT pattern M · below EMA20 / below value,0.0,Bull,—,4,6.5,46.0,0.0,7.1,2,60.2,6/8,None,—,0,STRONG 5/5,,,D WEAK,Financial Services,1040.6,1060.0,-1.8,-10.4,35.6,68%,1054.1,1037.9,1.5,1116.0,-0.2,-0.23R · S/R·D,LEADING,Rigorous,"At Value, Armed",
SUPREMEIND,,38.9,Wait for Pullback · Recovery,3/5 · no vol · PA 1b · ↑M · ⚠unval,NEUTRAL (+0) · NONE,CLEAN (1),✗ IN VA (lower),Rec-Catalyst-Scan,,False,,REACTING off pattern D · below EMA20 (turn unconfirmed),0.0,Recovery,—,4,10.0,79.5,30.0,-5.8,1,53.2,3/8,None,✓,0,,6/6 FULL,4/7,F POOR,Industrials,3504.0,3598.0,-2.6,-23.5,47.9,45%,3553.0,3362.1,5.4,4089.1,-0.1,-0.10R · S/R·D,LAGGING,Discovery,Recovery Catalyst,
PIDILITIND,,37.8,Buy Trigger Live · Bull,5/5 GO · PB · RRG·,BEAR (-8) · S7 — Distribution Breakdown,CLEAN (1),✓ IN VA (upper),Pullback,,False,,⚠ AT pivot+conf · thin R:R / below EMA20 / below value,1.4,Bull,—,5,7.5,49.5,0.0,5.2,2,61.8,6/8,None,—,3,STRONG 4/5,,4/7,C FAIR,Basic Materials,1569.0,1575.0,-0.4,-6.7,62.4,61%,1593.0,1531.9,3.8,1688.7,0.0,0.01R · S/R·D,LEADING,Discovery,At Value,
HDFCSML250,,36.3,Wait for Pullback · Bull,2/5 · no PA · F? · ↑D · RRG·,BULL (+4) · NONE,CLEAN (0),✓ ABOVE VAH,ETF,,False,,REACTING off pivot · thin R:R / below value,0.6,Bull,—,4,5.0,37.5,30.0,4.7,2,58.8,7/8,None,—,0,ETF  ·  ₹25.2Cr  ·  NAV -0.8%,,,,,185.3,186.6,-0.7,-2.4,,64%,185.3,181.3,2.2,192.7,0.4,0.36R · S/R·W,WEAKENING,Rigorous,ETF,
OBEROIRLTY,,35.8,Wait for Pullback · Bull,4/5 · weak bar · PA 2b · PB · ↑D · RRG·,CAUTION (-5) · NONE,CLEAN (1),✓ IN VA (upper),Pullback,,False,,AT pivot+conf · below EMA20 / below value,14.9,Bull,—,4,6.5,49.5,0.0,7.1,2,64.9,6/8,None,—,0,STRONG 5/5,,4/7,C FAIR,Real Estate,1796.3,1847.5,-2.8,-7.7,30.0,44%,1833.8,1810.6,1.3,1968.2,-1.6,-1.58R · S/R·D,LEADING,Discovery,At Value,
GOLDIETF,,35.5,Wait for Pullback · Bull,4/5 · weak bar · F? · PA 1b · ↑M,NEUTRAL (+3) · NONE,CLEAN (0),✓ IN VA (upper),ETF,,False,,AT pivot+conf · thin R:R / below EMA20 / below value,23.3,Bull,—,4,5.0,35.5,15.0,-3.1,2,57.2,6/8,None,✓,0,ETF  ·  ₹60.9Cr  ·  NAV +0.3%,,,,,130.3,130.4,-0.1,-17.5,,61%,130.3,125.2,3.9,140.3,0.9,0.86R · SZ·D,LAGGING,Rigorous,ETF,
MOREALTY,,33.8,Wait for Pullback · Bull,3/5 · no PA · F? · ↑D · RRG·,NEUTRAL (-1) · NONE,CLEAN (1),✗ IN VA (lower),ETF,,False,,AT pattern W · below EMA20 / below value,0.0,Bull,—,4,5.0,52.5,30.0,8.1,2,55.5,5/8,None,✓,0,ETF  ·  ₹6.4Cr  ·  NAV -2.2% ·,,,,,87.6,89.8,-2.4,-11.9,,78%,87.6,85.9,1.9,98.0,0.6,0.64R · S/R·D,LEADING,Rigorous,ETF,
MIDCAPETF,,32.4,Wait for Pullback · Bull,2/5 · no PA · F? · ↑D · RRG·,NEUTRAL (-1) · NONE,CLEAN (1),✓ IN VA (upper),ETF,,False,,AT pivot+conf · thin R:R / below EMA20 / below value,4.9,Bull,—,4,5.0,42.5,30.0,1.7,2,49.4,6/8,None,—,0,ETF  ·  ₹5.1Cr  ·  NAV -0.3%,,,,,23.6,23.6,-0.3,-4.2,,96%,23.6,22.6,4.2,25.0,0.4,0.42R · S/R·D,WEAKENING,Rigorous,ETF,
MOMENTUM50,,31.9,Wait for Pullback · Bull,3/5 · no vol · F? · PA 1b · ↑D · RRG·,NEUTRAL (-1) · NONE,CLEAN (0),✓ ABOVE VAH,ETF,,False,,REACTING off pivot · thin R:R,13.5,Bull,—,4,5.0,37.5,30.0,0.6,2,64.2,6/8,None,—,0,ETF  ·  ₹2.5Cr  ·  NAV +0.1%,,,,,54.9,54.9,-0.1,-2.0,,65%,54.9,53.2,3.1,57.4,0.0,0.02R · S/R·D,WEAKENING,Rigorous,ETF,
MOM30IETF,,28.7,Armed Wait · Bull,2/5 · no PA · F? · ↑W · RRG·,NEUTRAL (+2) · NONE,CLEAN (1),✓ IN VA (upper),ETF,,False,,REACTING off pivot,8.4,Bull,—,5,5.0,31.0,30.0,-1.2,2,59.5,4/8,None,—,0,ETF  ·  ₹2.1Cr  ·  NAV -0.1%,,,,,31.5,31.5,-0.1,-4.3,,61%,31.5,30.9,2.0,33.1,0.1,0.06R · Pv·D  (1.30R to lastPH),LAGGING,Rigorous,ETF,
NEXT50IETF,,27.7,Wait for Pullback · Bull,2/5 · no PA · F? · ↑M · RRG·,NEUTRAL (+1) · NONE,CLEAN (0),✓ IN VA (upper),ETF,,False,,REACTING off pivot · below EMA20 / below value,13.6,Bull,—,4,5.0,35.0,0.0,1.7,2,59.5,6/8,None,—,0,ETF  ·  ₹5.4Cr  ·  NAV -0.0%,,,,,77.0,77.1,-0.1,-4.2,,66%,77.0,75.4,2.1,81.7,0.8,0.77R · S/R·W,WEAKENING,Rigorous,ETF,
MOM100,,25.1,Wait for Pullback · Bull,2/5 · no PA · F? · RRG·,NEUTRAL (+0) · NONE,CLEAN (1),✗ IN VA (lower),ETF,,False,,AT pivot+conf · below EMA20 / below value,4.4,Bull,—,4,5.0,35.0,0.0,1.7,2,56.3,6/8,None,—,0,ETF  ·  ₹2.0Cr  ·  NAV -0.7%,,,,,67.5,67.9,-0.6,-4.0,,62%,67.5,66.5,1.4,70.6,0.4,0.38R · Pv·D  (1.77R to S/R·W),WEAKENING,Rigorous,ETF,
ITBEES,,23.9,Invalidated · Bull,⛔ Stage 3 · gates 4/5 · 1⚖ · ↑D,BEAR (-8) · NONE,CLEAN (1),✗ IN VA (lower),ETF,,False,,AT pivot+conf · below EMA20 / below value,,Bull,—,1,5.0,25.0,30.0,-1.6,3,44.5,0/8,None,—,0,ETF  ·  ₹44.5Cr  ·  NAV -2.9% ·,,,,,32.2,33.3,-3.1,-27.2,,61%,32.2,31.0,3.9,35.4,2.2,2.21R · lastPH,IMPROVING,Rigorous,ETF,
AUTOBEES,,22.8,Wait for Pullback · Bull,2/5 · no PA · F?,NEUTRAL (-2) · NONE,CLEAN (0),✓ IN VA (upper),ETF,,False,,AT pivot+conf · thin R:R / below EMA20 / below value,10.7,Bull,—,4,5.0,37.0,0.0,2.6,2,44.1,5/8,None,—,0,ETF  ·  ₹5.9Cr  ·  NAV -0.9%,,,,,284.8,286.8,-0.7,-8.3,,60%,284.8,271.7,4.6,299.4,0.0,0.02R · S/R·W,LEADING,Rigorous,ETF,
PVTBANIETF,,19.6,Invalidated · Bull,⛔ Stage 3 · gates 3/5 · ↑W · RRG·,BEAR (-9) · S7 — Distribution Breakdown,CHOPPY (2),✗ IN VA (lower),ETF,,False,,AT pivot+conf · thin R:R / below EMA20 / below value,7.2,Bull,—,1,5.0,28.5,30.0,-0.2,3,54.0,2/8,None,—,0,ETF  ·  ₹8.9Cr  ·  NAV -1.1% ·,,,,,27.5,27.8,-1.0,-9.3,,82%,27.5,26.8,2.7,28.7,0.2,0.22R · Pv·D  (0.51R to S/R·W),IMPROVING,Rigorous,ETF,
BANKNIFTY1,,17.6,Invalidated · Bull,⛔ Stage 3 · gates 4/5 · ↑W · RRG·,CAUTION (-5) · NONE,CLEAN (1),✓ IN VA (upper),ETF,,False,,REACTING off pivot · thin R:R / below EMA20 / below value,2.6,Bull,—,1,5.0,25.0,0.0,-0.4,3,58.7,2/8,None,—,0,ETF  ·  ₹2.4Cr  ·  NAV -0.6%,,,,,58.7,59.1,-0.7,-10.1,,66%,58.7,56.3,4.0,61.8,0.3,0.33R · S/R·D,IMPROVING,Rigorous,ETF,
