Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Arm,Armed,Loc,→Zone,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,Room,RRGeng,Tier,Sources,Stale
JSL,★,60.4,Invalidated · Recovery,⛔ Stage 3 · gates 5/5 · 2⚖ · ↑W · ⚠unval,NEUTRAL (-2) · NONE,CLEAN (1),✓ IN VA (upper),"Recovery-RS, Recovery-Early",,False,,REACTING off pivot · extended,4.5,Recovery,—,1,10.0,60.0,50.0,-3.7,3,55.4,3/8,None,✓,10,,6/6 FULL,5/7,F POOR,Basic Materials,786.2,736.8,6.7,-16.4,24.1,37%,738.8,707.7,4.2,862.2,1.9,1.85R · S/R·W,IMPROVING,Rigorous,"Rec RS, Rec Early",
KAJARIACER,★,58.4,Buy Trigger Live · Bull,2/5 · no loc · PB · RRG·,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,False,,⚠ pivot only ✗ · below value,20.2,Bull,—,5,9.5,82.5,50.0,6.4,2,60.1,8/8,None,—,1,STRONG 4/5,,6/7,B GOOD,Industrials,1238.4,1220.5,1.5,-3.4,36.9,61%,1250.2,1207.8,3.4,1350.2,-0.1,-0.12R · S/R·W,WEAKENING,Rigorous,Pullback,
IKS,,57.5,Buy Trigger Live · Bull,3/5 · no loc · RRG·,NEUTRAL (+3) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,"HELD 54 @ 1,843.5",False,,⚠ −12.7% → pattern D · below value,12.7,Bull,—,5,7.5,59.5,65.0,7.8,2,49.8,6/8,None,✓,2,STRONG 4/5,,4/7,B GOOD,Healthcare,1785.2,1780.0,0.3,-7.6,50.0,40%,1785.2,1707.8,4.3,1950.9,0.0,0.04R · SZ band top,LEADING,Discovery,At Value,
LAURUSLABS,,57.0,ADD ready · Bull,1/5 · no PA · RRG·,BULL (+5) · NONE,CLEAN (0),✓ ABOVE VAH,Pyramid,"58 @ 1613.2 = ₹1,11,783 · SL→1716.6 · add 58 (capped ≤100% of 58)",False,,−3.1% → pattern 125m · thin R:R,3.1,Bull,—,4,7.5,62.0,50.0,24.1,2,62.8,8/8,None,—,0,STRONG 5/5,,6/7,B GOOD,Healthcare,1927.3,1876.7,2.7,-0.3,120.0,52%,1946.9,1826.0,6.2,2091.9,0.0,0.02R · SZ band top,LEADING,Rigorous,Portfolio,
NAVINFLUOR,★,56.6,Wait for Pullback · Bull,3/5 · no loc · PA 2b · RRG·,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Leader,,False,,−12.6% → pattern D · thin R:R,12.6,Bull,—,4,8.5,85.0,50.0,9.4,2,62.8,8/8,None,—,0,STRONG 5/5,,4/7,B GOOD,Basic Materials,8749.0,8603.5,1.7,-0.5,78.8,44%,8731.0,8385.8,4.0,9402.4,0.1,0.13R · SZ band top,WEAKENING,Rigorous,Leader,
CRISIL,★,56.2,Wait for Pullback · Bull,2/5 · no PA · PB · ↑D,BULL (+6) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pivot+conf · thin R:R / below value,0.9,Bull,—,4,9.0,76.0,50.0,2.1,1,61.7,5/8,None,✓,0,STRONG 4/5,,,C FAIR,Financial Services,4690.0,4786.6,-2.0,-7.0,60.1,58%,4754.5,4513.7,5.1,5115.8,0.3,0.31R · SZ·D,LEADING,Rigorous,Pullback,
KPRMILL,★,54.4,Buy Trigger Live · Bull,⛔ funda,NEUTRAL (+3) · NONE,CLEAN (0),✗ IN VA (lower),Pullback,,False,,⚠ REACTING off pattern W · below value,0.0,Bull,—,2,7.0,73.5,25.0,8.4,2,61.2,8/8,SWG-PB,—,3,OK 3/5,,4/7,C FAIR,Consumer Cyclical,1143.0,1154.7,-1.0,-14.9,59.9,55%,1135.0,1108.8,2.3,1209.6,0.9,0.90R · Pv·D  (2.17R to S/R·W),WEAKENING,Rigorous,Pullback,
IPCALAB,★,54.1,Wait for Pullback · Bull,3/5 · no PA · PB · ↑D,BULL (+4) · NONE,CLEAN (0),✓ IN VA (upper),Pullback,,False,,REACTING off pivot · thin R:R / below value,10.4,Bull,—,4,9.0,82.5,40.0,8.5,2,66.0,8/8,None,—,0,STRONG 4/5,,6/7,B GOOD,Healthcare,1955.9,1959.1,-0.2,-1.7,39.3,62%,1967.2,1832.2,6.9,2129.1,0.2,0.25R · lastPH,LEADING,Rigorous,Pullback,
BAJAJ-AUTO,,54.0,Wait for Pullback · Bull,4/5 · no funda · PA 3b · PB · ↑D,STRONG BULL (+11) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pivot+conf · below EMA20 / below value,0.6,Bull,—,4,7.5,56.0,40.0,6.4,2,57.0,8/8,None,—,0,STRONG 5/5,,4/7,B GOOD,Consumer Cyclical,11780.0,11800.0,-0.2,-4.7,30.2,58%,11880.0,11689.9,1.6,12553.6,-0.1,-0.13R · S/R·D,LEADING,Discovery,At Value,
PNBHOUSING,,53.8,Wait for Pullback · Bull,3/5 · no vol · PA 1b · PB · ↑D,NEUTRAL (+2) · NONE,CLEAN (0),✓ ABOVE VAH,"Pullback, Catalyst-Scan",,False,,REACTING off pattern W · below EMA20 / below value,0.0,Bull,—,4,5.0,35.0,30.0,9.6,2,58.8,8/8,SWG-PB,—,0,STRONG 5/5,,,D WEAK,Financial Services,1145.0,1182.1,-3.1,-3.7,12.6,56%,1167.1,1146.3,1.8,1237.4,-0.1,-0.10R · Pv·D  (1.28R to S/R·D),WEAKENING,Discovery,"At Value, Bull Catalyst",
JSWDULUX,★,53.4,Buy Trigger Live · Recovery,4/5 · no vol · ↑M · ⚠unval · RRG·,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Recovery-Early,,False,,REACTING off pivot,,Recovery,—,5,10.0,85.0,80.0,-0.9,2,51.5,3/8,None,—,3,,6/6 FULL,4/7,C FAIR,,3175.0,3186.8,-0.4,-15.2,37.8,75%,3174.4,3069.3,3.3,3533.0,0.1,0.10R · lastPH,LAGGING,Rigorous,Rec Early,
HONASA,,53.1,Buy Trigger Live · Bull,5/5 GO · PB · ⚠role · ↑W · RRG·,NEUTRAL (+2) · NONE,CLEAN (0),✓ IN VA (upper),Pullback,,False,,⚠ REACTING off pattern W · below EMA20 / below value,0.0,Bull,—,5,8.0,56.0,15.0,18.3,2,64.1,8/8,None,—,2,STRONG 5/5,,5/7,C FAIR,Consumer Defensive,473.0,476.1,-0.6,-7.2,64.4,54%,473.0,456.7,3.4,520.5,1.1,1.15R · SZ band top,WEAKENING,Discovery,At Value,
EMCURE,,52.9,Wait for Pullback · Bull,2/5 · no PA · RRG·,NEUTRAL (-1) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,−14.3% → pattern D · below value,14.3,Bull,—,4,7.5,52.0,50.0,6.9,2,57.4,8/8,None,—,0,STRONG 5/5,,2/7,C FAIR,Healthcare,1911.1,1925.8,-0.8,-6.7,43.9,47%,1911.1,1856.2,2.9,2059.4,0.9,0.89R · lastPH,WEAKENING,Discovery,At Value,
NYKAA,★,52.7,Wait for Pullback · Bull,⛔ funda,BULL (+5) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pivot+conf · thin R:R,1.1,Bull,—,2,8.5,80.0,60.0,11.7,2,55.3,8/8,None,—,0,OK 2/5,,3/7,C FAIR,Consumer Cyclical,341.0,341.0,0.0,-2.4,1141.0,55%,341.0,326.5,4.3,364.4,0.5,0.48R · S/R·D,LEADING,Rigorous,Pullback,
OFSS,,52.7,Wait for Pullback · Bull,3/5 · no PA · PB · ↑D · RRG·,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,False,,AT pattern D · below EMA20 / below value,0.0,Bull,—,4,8.5,58.5,25.0,19.8,2,62.3,7/8,None,—,0,STRONG 4/5,,5/7,C FAIR,Technology,11555.0,11847.0,-2.5,-6.1,28.5,50%,11780.0,11497.9,2.4,12810.7,1.7,1.66R · SZ·W,WEAKENING,Discovery,At Value,
MODEFENCE,,52.5,Buy Trigger Live · Bull,4/5 · no vol · F? · PB · ↑D · RRG·,NEUTRAL (+3) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,ETF,,False,,REACTING off pivot,1.3,Bull,—,5,5.0,50.0,80.0,4.6,2,48.6,8/8,None,—,3,ETF  ·  ₹13.4Cr  ·  NAV -0.8%,,,,,109.0,109.7,-0.7,-1.6,,80%,109.0,107.1,1.7,116.2,0.5,0.54R · SZ band top,WEAKENING,Rigorous,ETF,
NAM-INDIA,,51.8,Wait for Pullback · Bull,4/5 · no funda · PA 3b · PB · ↑W · RRG·,BULL (+4) · S1 — OB Retest + VP Support,CLEAN (1),✗ IN VA (lower),Pullback,"HELD 93 @ 1,068.1  ·  pyramid says REDUCE",False,,REACTING off pattern D · below EMA20 / below value,0.0,Bull,—,4,7.5,48.5,30.0,8.8,2,56.1,7/8,None,—,0,STRONG 5/5,,,B GOOD,Financial Services,1163.0,1195.0,-2.7,-6.3,46.6,54%,1188.9,1148.0,3.4,1288.5,1.0,0.97R · S/R·D,WEAKENING,Discovery,At Value,
SONACOMS,,51.7,Wait for Pullback · Bull,2/5 · no PA · PB · ↑D,BULL (+5) · S1 — OB Retest + VP Support,CLEAN (1),✓ ABOVE VAH,Pullback,HELD 258 @ 770.1,False,,AT pivot+conf · thin R:R,8.9,Bull,—,4,6.5,61.0,30.0,18.2,2,57.4,8/8,None,✓,0,STRONG 4/5,,4/7,C FAIR,Consumer Cyclical,799.5,788.0,1.5,-4.7,64.3,48%,804.0,765.5,4.8,869.1,0.0,0.04R · S/R·W,LEADING,Discovery,At Value,
