Symbol,Signal_Label,Signal_Date,Age_Days,Score,RFF_Score,Weinstein_Stage,Mansfield_RS,RSI14,Rel_Vol,Entry,SL,T1,RR_T1,SL_pct,T1_pct,Details
ANGELONE,REV-EARLY,2026-04-09,5,8,0,2,2.329,79.1,1.53,296.86,223.43,480.43,2.5,24.74,61.84,"EARLY VCP breakout 3d ago, near golden cross [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
GICRE,REV-EARLY,2026-04-10,5,7,0,2,0.949,64.5,1.32,398.55,348.36,524.03,2.5,12.59,31.48,"EARLY VCP breakout 2d ago, near golden cross [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
AUBANK,REV-EARLY,2026-04-08,5,7,0,2,0.701,61.8,0.35,984.4,824.76,1383.5,2.5,16.22,40.54,"EARLY VCP breakout 4d ago, near golden cross [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
RAILTEL,REV-RS,2026-04-15,0,11,0,4,0.605,69.9,20.74,332.2,241.48,559.01,2.5,27.31,68.27,"RS breakout 0d ago, holding above SMA50 [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
NIACL,REV-RS,2026-04-13,2,10,0,3,1.065,69.1,2.68,165.08,114.98,290.34,2.5,30.35,75.88,"RS breakout 1d ago, holding above SMA50 [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
OLAELEC,REV-RS,2026-04-10,5,10,0,3,1.647,77.9,1.61,39.39,21.92,83.06,2.5,44.35,110.87,"RS breakout 2d ago, holding above SMA50 [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
PAGEIND,REV-RS,2026-04-15,0,9,0,3,0.783,78.7,2.21,36655,31052.41,50661.47,2.5,15.28,38.21,"RS breakout 0d ago, holding above SMA50 [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
TECHNOE,REV-RS,2026-04-15,0,9,0,3,1.225,61.7,1.86,1205.85,966.65,1803.86,2.5,19.84,49.59,"RS breakout 0d ago, holding above SMA50 [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
HYUNDAI,REV-CB,2026-04-08,5,8,0,4,-1.517,33,1.08,1775,1625.48,1840.22,0.44,8.42,3.67,"CB buy: climax 6d ago, turn 4d ago [RFF not verified: stock not in Screener.in recovery screens — check fundamentals manually]"
