Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
IPCALAB,Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,2009.6,1375.16,1141.97,28.42,0.1,2.49,10.15,1653.98,1863.01
JSL,Jindal Stain.,532508,JSL,INE220G01021,Ferrous Metals,Iron & Steel,750.95,3238.57,3394.99,8.66,0.38,1.25,8.45,733.23,729.36
JSWDULUX,JSW Dulux,500710,JSWDULUX,INE133A01011,Consumer Durables,Paints,3188.8,1962.5,93.2,43.9,0.03,1.56,10.78,3111.51,3106.35
JYOTICNC,Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,1049.7,321.72,54.39,6.42,0.43,2.26,10.49,854.6,912.81
KOVAI,Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,6226.0,256.32,361.83,12.04,0.31,1.29,12.73,5795.95,5997.72
LGBBROSLTD,L G Balakrishnan,500250,LGBBROSLTD,INE337A01034,Auto Components,Auto Components & Equipments,1730.4,318.79,331.71,25.44,0.11,1.78,11.28,1624.77,1645.37
LAURUSLABS,Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,1954.0,1090.53,1623.5,9.91,0.48,1.33,9.03,1389.88,1787.04
LGEINDIA,LG Electronics,544576,LGEINDIA,INE324D01010,Consumer Durables,Household Appliances,1696.9,1824.69,1721.25,61.3,0.06,2.08,13.38,1584.0,1620.15
MANORAMA,Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1966.9,264.23,259.37,10.31,0.51,2.0,21.3,1553.93,1815.21
NAVINFLUOR,Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,8590.0,789.7,893.57,9.72,0.32,1.46,11.56,7018.3,8150.42
NEPHROPLUS,Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,743.35,85.11,232.58,2.95,0.07,2.23,6.09,614.88,697.26
NRBBEARING,NRB Bearings,530367,NRBBEARING,INE349A01021,Auto Components,Auto Components & Equipments,525.5,150.58,240.87,27.38,0.16,2.14,11.23,371.45,456.65
PETRONET,Petronet LNG,532522,PETRONET,INE347G01014,Gas,LPG/CNG/PNG/LNG Supplier,292.6,4207.79,4750.04,25.03,0.11,5.68,14.08,282.49,284.75
POWERICA,Powerica Ltd,544744,POWERICA,INE921L01032,Electrical Equipment,Heavy Electrical Equipment,576.3,291.15,452.88,15.23,0.29,1.61,8.41,488.66,539.5
PRECWIRE,Prec. Wires (I),523539,PRECWIRE,INE372C01037,Industrial Products,"Aluminium, Copper & Zinc Products",478.4,174.63,272.96,4.33,0.38,1.21,8.78,359.39,436.2
PRUDENT,Prudent Corp.,543527,PRUDENT,INE00F201020,Capital Markets,Financial Products Distributor,3501.6,245.04,216.54,58.24,0.04,1.25,20.49,2886.71,3241.98
QPOWER,Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1536.1,195.2,80.28,34.27,0.07,2.48,19.31,1089.37,1324.09
RATNAMANI,Ratnamani Metals,520111,RATNAMANI,INE703B01027,Industrial Products,Iron & Steel Products,2859.1,514.34,936.01,26.59,0.08,3.18,10.54,2518.1,2587.31
SAILIFE,Sai Life,544306,SAILIFE,INE570L01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1600.5,361.75,509.13,15.24,0.12,1.64,10.52,1175.85,1441.01
SCHAEFFLER,Schaeffler India,505790,SCHAEFFLER,INE513A01022,Auto Components,Auto Components & Equipments,4217.6,1291.05,1342.52,437.32,0.01,2.5,15.82,4017.87,4038.99
SEDEMAC,Sedemac Mechatro,544723,SEDEMAC,INE00XB01019,Auto Components,Auto Components & Equipments,3147.8,103.58,128.02,18.41,0.16,1.38,15.53,2277.34,2891.81
SHANTIGEAR,Shanthi Gears,522034,SHANTIGEAR,INE631A01022,Industrial Manufacturing,Industrial Products,700.05,63.82,70.1,828.55,0.0,3.11,15.11,481.38,534.2
SBCL,Shivalik Bimetal,513097,SBCL,INE386D01027,Industrial Products,Iron & Steel Products,1096.2,106.09,54.89,29.38,0.15,3.47,16.92,715.99,960.76
SHREEJISPG,Shreeji Ship. Gl,544490,SHREEJISPG,INE1B6101010,Transport Services,Shipping,708.05,159.78,190.99,12.87,0.36,2.03,15.43,485.57,633.29
SKFINDUS,SKF India Indus.,544572,SKFINDUS,INE2J8701016,Industrial Products,Abrasives & Bearings,2984.2,207.73,163.83,617.98,0.0,1.75,16.19,2615.27,2812.76
SMLMAH,SML Mahindra,505192,SMLMAH,INE294B01019,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,6292.5,156.41,156.19,12.4,0.56,1.25,11.84,4315.59,5331.71
SONACOMS,Sona BLW Precis.,543300,SONACOMS,INE073K01018,Auto Components,Auto Components & Equipments,808.0,746.4,614.59,48.47,0.06,2.84,9.98,637.28,763.54
SPECTRUM,Spectrum Electr.,544386,SPECTRUM,INE01EO01010,Industrial Manufacturing,Industrial Products,3039.6,50.0,70.79,5.06,0.89,1.36,8.19,1824.3,2363.05
SHRIPISTON,SPR Auto Technologies,544344,SHRIPISTON,INE526E01018,Auto Components,Auto Components & Equipments,4576.6,574.6,625.05,10.05,0.68,1.64,11.65,3667.67,4355.51
SSWL,Steel Str. Wheel,513262,SSWL,INE802C01033,Auto Components,Auto Components & Equipments,372.4,223.67,331.16,3.38,0.48,1.09,5.58,254.59,314.37
STAR,Strides Pharma,532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,1219.8,634.42,702.52,5.09,0.57,1.25,9.18,999.75,1076.49
SUNDRMFAST,Sundram Fasten.,500403,SUNDRMFAST,INE387A01021,Auto Components,Auto Components & Equipments,1228.2,613.6,837.04,22.84,0.15,2.12,10.56,993.44,1133.15
SPLPETRO,Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals,Petrochemicals,865.7,482.72,246.33,46.66,0.05,1.71,9.39,715.82,746.28
SUPRIYA,Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,906.3,198.38,185.77,154.5,0.0,4.4,16.9,788.34,855.39
SYRMA,Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,1728.9,401.58,289.57,12.22,0.14,1.49,7.03,1146.26,1458.59
TANFAC,Tanfac Inds.,506854,,INE639B01023,Chemicals & Petrochemicals,Commodity Chemicals,3526.05,67.64,43.4,24.64,0.25,1.66,14.6,2501.64,3088.13
TDPOWERSYS,TD Power Systems,533553,TDPOWERSYS,INE419M01035,Electrical Equipment,Heavy Electrical Equipment,763.75,274.99,129.07,225.94,0.02,1.95,14.74,547.18,692.55
TIMEX,Timex Group,500414,TIMEX,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",714.2,85.79,90.99,23.82,0.95,1.81,26.89,446.94,584.18
UNOMINDA,Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components,Auto Components & Equipments,1284.0,1290.54,1720.35,9.71,0.4,1.2,10.24,1168.26,1214.66
USHAMART,Usha Martin,517146,USHAMART,INE228A01035,Industrial Products,Iron & Steel Products,507.2,507.54,655.34,42.14,0.07,3.28,11.53,464.05,496.19
WABAG,Va Tech Wabag,533269,WABAG,INE956G01038,Other Utilities,Water Supply & Management,2132.6,394.2,206.7,8.36,0.09,1.71,6.56,1699.34,2004.32
WELCORP,Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,2660.1,2319.21,3204.28,15.9,0.26,1.23,9.1,1470.48,2129.92
WELENT,Welspun Enterp,532553,WELENT,INE625G01013,Construction,Civil Construction,823.35,347.97,112.19,3.68,0.65,1.26,6.4,571.81,671.57
