Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth,Return on equity,Return on capital employed
ASKAUTOLTD,ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,656.25,316.38,301.19,8.73,0.52,1.04,13.2,12937.48,52.38,28.83,,
ATLANTAELE,Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1666.1,217.47,184.33,6.4,0.05,1.69,17.08,12811.75,47.99,50.42,,
AVALON,Avalon Tech,543896,AVALON,INE0LCL01028,Electrical Equipment,Other Electrical Equipment,2537.7,133.6,57.19,13.45,0.3,1.91,9.58,16972.72,49.83,145.39,,
BAJAJ-AUTO,Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,11414.0,11552.81,2596.6,12.6,0.58,1.36,16.21,313661.1,65.14,45.93,,
CHENNPETRO,C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1416.6,4173.98,2944.96,42.47,0.18,1.42,16.54,21094.79,84.77,2671.95,,
CARERATING,CARE Ratings,534804,CARERATING,INE752H01013,Capital Markets,Ratings,1668.6,180.18,147.57,98.54,0.03,5.58,16.85,5025.56,18.92,25.14,,
CMPDI,Central Mine Pla,544739,CMPDI,INE05HV01027,Construction,Civil Construction,214.58,613.18,716.42,10295.63,0.0,3.35,20.63,15321.01,17.62,53.88,,
COFORGE,Coforge,532541,COFORGE,INE591G01025,IT - Software,Computers - Software & Consulting,1841.0,1920.0,1791.7,13.08,0.08,1.61,14.09,81552.27,49.22,96.31,,
CORONA,Corona Remedies,544644,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,2201.8,198.55,229.48,37.39,0.22,0.96,18.71,13466.23,21.9,29.53,,
CRISIL,CRISIL,500092,CRISIL,INE007A01025,Finance,Other Financial Services,4577.5,884.32,755.58,49.02,0.1,1.87,16.07,33475.27,27.56,26.16,,
DHOOTTRANS,Dhoot Transmission,544867,DHOOTTRANS,INE01NH01023,Auto Components,Auto Components & Equipments,1590.7,396.84,347.66,6.75,0.38,1.94,12.81,32537.46,49.68,36.89,,
DIVISLAB,Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,9375.0,2925.0,2738.0,151.35,0.0,5.43,14.2,248876.79,27.8,65.5,,
LALPATHLAB,Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1896.9,546.3,635.61,31.61,0.08,2.54,18.01,31839.24,19.1,28.02,,
EICHERMOT,Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7516.0,5772.52,4804.84,96.68,0.02,1.34,18.74,206330.52,31.55,21.35,,
ELANTAS,Elantas Beck,500123,ELANTAS,INE280B01018,Chemicals & Petrochemicals,Specialty Chemicals,14228.0,177.57,127.11,395.5,0.0,5.85,13.53,11279.51,34.99,80.35,,
ELGIEQUIP,Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",609.55,447.9,453.5,26.79,0.24,1.98,11.84,19317.19,22.56,27.0,,
EMCURE,Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,2003.8,1018.96,943.55,10.55,0.31,1.43,10.91,38014.22,22.85,40.45,,
EMMVEE,Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,328.0,1274.17,200.14,14.91,0.1,2.04,22.16,22708.92,51.34,102.64,,
ESABINDIA,Esab India,500133,ESABINDIA,INE284A01012,Industrial Products,Other Industrial Products,5627.5,221.89,180.69,163.38,0.01,1.98,28.6,8662.42,19.63,37.13,,
FINEORG,Fine Organic,541557,FINEORG,INE686Y01026,Chemicals & Petrochemicals,Specialty Chemicals,5199.0,438.1,429.6,127.47,0.03,8.49,14.84,15940.12,17.98,23.45,,
NYKAA,FSN E-Commerce,543384,NYKAA,INE388Y01029,Retailing,E-Retail/ E-Commerce,332.15,259.23,644.3,4.81,0.86,1.16,4.98,95137.55,29.1,243.1,,
UTLSOLAR,Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,418.65,294.33,-2.89,12.96,0.41,1.72,18.22,12848.44,125.28,168.56,,
GESHIP,GE Shipping Co,500620,GESHIP,INE017A01032,Transport Services,Shipping,1432.1,3746.86,2853.87,35.59,0.06,5.35,13.4,20445.69,66.91,159.43,,
GVT&D,GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4385.0,1305.04,1709.88,118.41,0.01,1.33,20.66,112277.93,38.04,24.65,,
GLENMARK,Glenmark Pharma.,532296,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,2447.4,1797.79,3445.03,22.89,0.06,1.77,12.71,69071.67,23.1,85.5,,
EBGNG,GNG Electronics,544455,EBGNG,INE18JU01028,IT - Hardware,Computers Hardware & Equipments,703.05,142.43,-215.3,4.53,0.57,2.51,13.38,8015.58,32.08,56.21,,
GUJTHEM,Guj. Themis Bio.,506879,GUJTHEM,INE942C01045,Pharmaceuticals & Biotechnology,Pharmaceuticals,427.4,48.68,48.78,14.86,0.56,1.12,11.6,5562.68,22.08,22.19,,
GULFOILLUB,Gulf Oil Lubric.,538567,GULFOILLUB,INE635Q01029,Petroleum Products,Lubricants,1070.1,381.78,362.52,10.56,0.33,1.84,13.12,5302.94,32.52,31.93,,
HAPPYFORGE,Happy Forgings,544057,HAPPYFORGE,INE330T01021,Industrial Products,Castings & Forgings,2148.3,327.4,444.67,39.86,0.15,1.83,12.34,20280.2,27.03,39.23,,
HSCL,Himadri Special,500184,HSCL,INE019C01026,Chemicals & Petrochemicals,Carbon Black,675.35,804.14,382.01,15.94,0.16,2.18,13.73,34076.42,28.04,26.33,,
POWERINDIA,Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,32700.0,1150.39,1244.83,132.11,0.02,1.55,9.96,145751.63,68.62,123.52,,
HONASA,Honasa Consumer,544014,HONASA,INE0J5401028,Personal Products,Personal Care,479.55,249.32,141.35,26.29,0.1,1.27,10.42,15634.49,27.0,118.36,,
ICICIAMC,ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets,Asset Management Company,3206.7,3485.73,3281.56,267.96,0.0,0.65,70.7,158493.88,17.55,23.1,,
IGIL,International Gemological Instit,544311,IGIL,INE0Q9301021,Commercial Services & Supplies,Diversified Commercial Services,330.95,609.68,624.1,82.21,0.1,5.04,42.4,14302.33,23.22,30.99,,
IKS,Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services,IT Enabled Services,1779.9,763.76,673.59,16.43,0.27,1.12,20.38,30554.33,20.74,27.85,,
IPCALAB,Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,2009.6,1375.16,1141.97,28.42,0.1,2.49,10.15,50984.4,20.76,72.33,,
KAJARIACER,Kajaria Ceramics,500233,KAJARIACER,INE217B01036,Consumer Durables,Ceramics,1202.7,547.72,663.67,36.92,0.07,2.97,13.39,18899.59,20.43,52.43,,
KARAMTARA,Karamtara Engg.,544917,KARAMTARA,INE590T01012,Electrical Equipment,Heavy Electrical Equipment,355.55,228.75,675.15,3.22,0.91,1.09,6.65,11442.41,34.23,51.57,,
KENNAMET,Kennametal India,505890,KENNAMET,INE717A01029,Industrial Manufacturing,Industrial Products,4281.5,196.0,18.3,888.67,0.0,2.35,17.57,9409.98,47.68,183.71,,
KINGFA,Kingfa Science,524019,KINGFA,INE473D01015,Industrial Products,Plastic Products - Industrial,5828.0,225.67,66.21,94.34,0.01,4.06,12.73,7897.74,49.06,101.58,,
KMEW,Knowledge Marine,543273,KMEW,INE0CJD01029,Engineering Services,Dredging,2885.6,131.07,74.34,9.03,0.39,1.22,13.04,7319.13,138.11,447.74,,
KOVAI,Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,6226.0,256.32,361.83,12.04,0.31,1.29,12.73,6811.24,15.35,20.72,,
