Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth,Return on equity,Return on capital employed
ENGINERSIN,Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,266.35,784.13,319.02,511.94,0.01,1.27,12.2,14970.0,,,23.37,30.4
GPPL,Guj Pipavav Port,533248,GPPL,INE517F01014,Transport Infrastructure,Port & Port services,160.35,558.74,510.31,128.46,0.02,2.54,16.47,7751.96,,,20.77,28.06
HDFCAMC,HDFC AMC,541729,HDFCAMC,INE127D01025,Capital Markets,Asset Management Company,2425.0,2949.8,2530.09,276.21,0.0,0.64,30.51,103986.55,,,32.93,42.88
HAL,Hind.Aeronautics,541154,HAL,INE066F01020,Aerospace & Defense,Aerospace & Defense,4800.3,9321.41,10906.38,2129.76,0.0,2.66,7.5,321032.06,,,23.97,31.97
ITDC,I T D C,532189,ITDC,INE353K01014,Leisure Services,Hotels & Resorts,658.3,82.02,70.44,74.34,0.0,1.93,10.91,5646.2,,,21.04,29.92
INOXINDIA,Inox India,544046,INOXINDIA,INE616N01034,Industrial Products,Other Industrial Products,2098.8,254.85,116.65,34.69,0.07,1.44,14.19,19049.44,,,26.13,33.48
KPRMILL,K P R Mill Ltd,532889,KPRMILL,INE930H01031,Textiles & Apparels,Other Textile Products,1141.4,912.34,1107.84,23.85,0.1,4.31,13.14,39014.65,,,15.71,19.58
KANOHAR,Kanohar Elect.,544911,KANOHAR,INE877D01025,Electrical Equipment,Heavy Electrical Equipment,786.8,129.73,25.84,14.47,0.1,2.5,24.84,6230.42,,,42.19,54.32
LUPIN,Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2083.0,5550.99,7334.5,18.76,0.29,1.62,17.01,95248.48,,,28.68,29.93
NMDC,NMDC,526371,NMDC,INE584A01023,Minerals & Mining,Industrial Minerals,79.15,7458.73,4996.25,89.17,0.19,2.43,16.68,69587.24,,,23.37,27.58
SARDAEN,Sarda Energy,504614,SARDAEN,INE385C01021,Ferrous Metals,Iron & Steel,505.95,1150.93,1734.85,7.24,0.36,2.96,9.61,17828.73,,,15.08,16.87
SBIFUNDS,SBI Funds Mgt.,544829,SBIFUNDS,INE640G01020,Capital Markets,Asset Management Company,561.35,3067.38,2487.6,441.76,0.0,0.92,40.38,114337.32,,,43.02,56.5
SHANTIGEAR,Shanthi Gears,522034,SHANTIGEAR,INE631A01022,Industrial Manufacturing,Industrial Products,700.05,63.82,70.1,828.55,0.0,3.11,15.11,5370.49,,,19.0,25.55
SIEMENS,Siemens,500550,SIEMENS,INE003A01024,Electrical Equipment,Heavy Electrical Equipment,3913.9,3276.7,-535.4,65.7,0.02,2.71,12.11,139382.0,,,19.22,21.44
SKFINDUS,SKF India Indus.,544572,SKFINDUS,INE2J8701016,Industrial Products,Abrasives & Bearings,2984.2,207.73,163.83,617.98,0.0,1.75,16.19,14753.28,,,26.65,29.89
SUNPHARMA,Sun Pharma.Inds.,524715,SUNPHARMA,INE044A01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,1837.3,12117.01,12419.18,47.01,0.06,1.9,12.44,440829.81,,,15.95,20.53
SUPRIYA,Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,906.3,198.38,185.77,154.5,0.0,4.4,16.9,7294.16,,,19.06,25.17
TATATECH,Tata Technolog.,544028,TATATECH,INE142M01025,IT - Services,IT Enabled Services,722.45,557.06,775.7,20.83,0.24,1.32,7.9,29335.21,,,16.34,20.9
TIPSMUSIC,Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,657.7,214.61,196.99,1203.71,0.02,1.57,58.61,8407.48,,,87.56,118.47
UNITDSPR,United Spirits,532432,UNITDSPR,INE854D01024,Beverages,Breweries & Distilleries,1371.0,1884.0,1459.0,17.96,0.05,1.81,13.23,99719.8,,,21.43,26.39
OMNI,Omnitech Engg.,544720,OMNI,INE0UH301010,Industrial Manufacturing,Industrial Products,556.15,103.85,-1.98,4.48,0.64,1.92,8.44,6877.69,61.48,470.63,,
SONACOMS,Sona BLW Precis.,543300,SONACOMS,INE073K01018,Auto Components,Auto Components & Equipments,808.0,746.4,614.59,48.47,0.06,2.84,9.98,50429.58,50.82,73.37,,
SPLPETRO,Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals,Petrochemicals,865.7,482.72,246.33,46.66,0.05,1.71,9.39,16278.74,22.08,192.05,,
SYRMA,Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,1728.9,401.58,289.57,12.22,0.14,1.49,7.03,33338.46,68.29,101.19,,
THANGAMAYL,Thangamayil Jew.,533158,THANGAMAYL,INE085J01014,Consumer Durables,"Gems, Jewellery And Watches",5044.5,391.04,322.33,8.42,0.64,1.54,11.08,15679.33,71.16,86.15,,
