Symbol,name,asset_class,sub_category,underlying,liquidity_tier,turnover_cr,aum_cr,ter_pct,selected_from,reason
HEALTHIETF,ICICI Pru Nifty Healthcare ETF,SECTOR,SECTOR.NIFTY HEALTHCARE,Nifty Healthcare,D,1.99,232.7,0.15,2,most liquid (none ample)
BFSI,Mirae Asset Nifty Financial Service ETF,SECTOR,SECTOR.FINNIFTY,Finnifty,D,1.86,397.1,0.11,1,most liquid (none ample)
GROWWRAIL,Groww Nifty India Railways PSU ETF,SECTOR,SECTOR.NIFTY INDIA RAILWAYS PSU,Nifty India Railways PSU,D,1.75,165.5,0.53,1,most liquid (none ample)
CHEMICAL,Kotak Nifty Chemicals ETF,SECTOR,SECTOR.NIFTY CHEMICALS,Nifty Chemicals,D,1.53,115.3,0.25,2,most liquid (none ample)
EVINDIA,Mirae Asset Nifty EV & New Age Auto ETF,SECTOR,SECTOR.NIFTY EV AND NEW AGE AUTO,Nifty EV and New Age Auto,D,1.03,180.4,0.35,2,most liquid (none ample)
GROWWCAPM,Groww Nifty Capital Markets ETF,SECTOR,SECTOR.NIFTY CAPITAL MARKET,Nifty Capital Market,D,0.69,47.7,0.47,1,most liquid (none ample)
SMALLCAP,Mirae Ast Nifty Smallcap 250 MQ 100 ETF,SMART_BETA,SMART_BETA.NIFTY SMALLCAP250 MOMENTUM QUALITY 100,Nifty Smallcap250 Momentum Quality 100,B,9.38,996.8,0.39,1,cheapest of the amply liquid
ALPHA,Kotak Nifty Alpha 50 ETF,SMART_BETA,SMART_BETA.NIFTY ALPHA 50,NIFTY ALPHA 50,B,6.07,927.7,0.3,1,cheapest of the amply liquid
MOM30IETF,ICICI Pru Nifty 200 Momentum 30 ETF,SMART_BETA,SMART_BETA.NIFTY 200 MOMENTUM 30,Nifty 200 Momentum 30,C,4.01,559.7,0.26,2,most liquid (none ample)
MOMENTUM50,Motilal Oswal Nifty 500 Momentum 50 ETF,SMART_BETA,SMART_BETA.NIFTY 500 MOMENTUM 50,Nifty 500 Momentum 50,C,3.49,397.3,1.38,1,most liquid (none ample)
TOP10ADD,DSP Nifty Top 10 Equal Weight ETF,SMART_BETA,SMART_BETA.NIFTY TOP 10 EQUAL WEIGHT,Nifty Top 10 Equal Weight,C,2.5,696.7,0.24,1,most liquid (none ample)
MIDSMALL,Mirae Asset Nifty MS400 MQ 100 ETF,SMART_BETA,SMART_BETA.NIFTY MIDSMALLCAP 400,Nifty MidSmallCap 400,D,1.77,491.0,0.37,1,most liquid (none ample)
LOWVOL1,Kotak Nifty 100 Low Volatility 30 ETF,SMART_BETA,SMART_BETA.NIFTY 100 LOW VOLATILITY 30,Nifty 100 Low Volatility 30,D,1.68,286.3,0.12,3,most liquid (none ample)
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,SMART_BETA,SMART_BETA.NIFTY 200 ALPHA 30,Nifty 200 Alpha 30,D,1.24,431.0,0.38,1,most liquid (none ample)
EQUAL50ADD,DSP Nifty 50 Equal Weight ETF,SMART_BETA,SMART_BETA.NIFTY 50 EQUAL WEIGHT,Nifty 50 Equal Weight,D,1.03,1393.6,0.35,1,most liquid (none ample)
SBIMIDMOM,SBI Nifty Midcap 150 Momentum 50 ETF,SMART_BETA,SMART_BETA.NIFTY MIDCAP 150 MOMENTUM,Nifty Midcap 150 Momentum,D,0.6,128.8,0.85,1,most liquid (none ample)
NV20IETF,ICICI Pru Nifty 50 Value 20 ETF,SMART_BETA,SMART_BETA.NIFTY50 VALUE 20 INDEX,Nifty50 Value 20 Index,D,0.6,175.5,0.21,1,most liquid (none ample)
CPSEETF,CPSE ETF,THEMATIC,THEMATIC.NIFTY CPSE,Nifty CPSE,B,9.98,19014.8,0.06,1,cheapest of the amply liquid
ENERGY,Mirae Asset Nifty Energy ETF,THEMATIC,THEMATIC.NIFTY ENERGY,Nifty Energy,D,1.73,291.8,0.3,2,most liquid (none ample)
INFRAIETF,ICICI Pru Nifty Infrastructure ETF,THEMATIC,THEMATIC.NIFTY INFRA,NIFTY Infra,D,1.63,423.2,0.42,2,most liquid (none ample)
CONSUMBEES,Nippon Nifty Cons. ETF (CONSUMBEES),THEMATIC,THEMATIC.NIFTY CONSUMPTION,Nifty Consumption,D,1.28,194.7,0.26,2,most liquid (none ample)
TNIDETF,Tata Nifty India Digital ETF,THEMATIC,THEMATIC.NIFTY INDIA DIGITAL,Nifty India Digital,D,0.9,174.3,0.51,1,most liquid (none ample)
MAKEINDIA,Mirae Asset Nifty India Mfg. ETF,THEMATIC,THEMATIC.NIFTY INDIA MANUFACTURING,Nifty India Manufacturing,D,0.83,269.3,0.36,1,most liquid (none ample)
COMMOIETF,ICICI Pru Nifty Commodities ETF,THEMATIC,THEMATIC.NIFTY COMMODITIES,Nifty Commodities,D,0.67,127.4,0.26,1,most liquid (none ample)
