Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,1049.70,321.72,54.39,6.42,0.43,2.26,10.49,854.60,912.81
Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,6226.00,256.32,361.83,12.04,0.31,1.29,12.73,5795.95,5997.72
L G Balakrishnan,500250,LGBBROSLTD,INE337A01034,Auto Components,Auto Components & Equipments,1730.40,318.79,331.71,25.44,0.11,1.78,11.28,1624.77,1645.37
Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,1954.00,1090.53,1623.50,9.91,0.48,1.33,9.03,1389.88,1787.04
LG Electronics,544576,LGEINDIA,INE324D01010,Consumer Durables,Household Appliances,1696.90,1824.69,1721.25,61.30,0.06,2.08,13.38,1584.00,1620.15
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1966.90,264.23,259.37,10.31,0.51,2.00,21.30,1553.93,1815.21
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,8590.00,789.70,893.57,9.72,0.32,1.46,11.56,7018.30,8150.42
Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,743.35,85.11,232.58,2.95,0.07,2.23,6.09,614.88,697.26
NRB Bearings,530367,NRBBEARING,INE349A01021,Auto Components,Auto Components & Equipments,525.50,150.58,240.87,27.38,0.16,2.14,11.23,371.45,456.65
Petronet LNG,532522,PETRONET,INE347G01014,Gas,LPG/CNG/PNG/LNG Supplier,292.60,4207.79,4750.04,25.03,0.11,5.68,14.08,282.49,284.75
Powerica Ltd,544744,POWERICA,INE921L01032,Electrical Equipment,Heavy Electrical Equipment,576.30,291.15,452.88,15.23,0.29,1.61,8.41,488.66,539.50
Prec. Wires (I),523539,PRECWIRE,INE372C01037,Industrial Products,"Aluminium, Copper & Zinc Products",478.40,174.63,272.96,4.33,0.38,1.21,8.78,359.39,436.20
Prudent Corp.,543527,PRUDENT,INE00F201020,Capital Markets,Financial Products Distributor,3501.60,245.04,216.54,58.24,0.04,1.25,20.49,2886.71,3241.98
Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1536.10,195.20,80.28,34.27,0.07,2.48,19.31,1089.37,1324.09
Ratnamani Metals,520111,RATNAMANI,INE703B01027,Industrial Products,Iron & Steel Products,2859.10,514.34,936.01,26.59,0.08,3.18,10.54,2518.10,2587.31
Sai Life,544306,SAILIFE,INE570L01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1600.50,361.75,509.13,15.24,0.12,1.64,10.52,1175.85,1441.01
Schaeffler India,505790,SCHAEFFLER,INE513A01022,Auto Components,Auto Components & Equipments,4217.60,1291.05,1342.52,437.32,0.01,2.50,15.82,4017.87,4038.99
Sedemac Mechatro,544723,SEDEMAC,INE00XB01019,Auto Components,Auto Components & Equipments,3147.80,103.58,128.02,18.41,0.16,1.38,15.53,2277.34,2891.81
Shanthi Gears,522034,SHANTIGEAR,INE631A01022,Industrial Manufacturing,Industrial Products,700.05,63.82,70.10,828.55,0.00,3.11,15.11,481.38,534.20
