Symbol,Asset_Class,Sub_Category,Stage,RRG_Quadrant,Rotation_Vector,Liquidity_Score,Trend_Score,RS_Score,Rotation_Score,Total_Score,Grade,Mansfield_RS,RS_Momentum_4W,Turnover_60D_Cr,MA200_Slope_pct,Dist_52WH_pct,LTP,Signal
ITIETF,SECTOR,SECTOR.IT,3,IMPROVING,CHURNING,6,3,2,6,17,C,-6.82,2.97,2.95,-3.1,-21.59,33.93,⚪ NEUTRAL
LIQUIDBEES,DEBT,DEBT.LIQUID,1,LAGGING,FALLING,10,6,0,1,17,C,-1.98,-1.5,289.21,-0.0,0.0,1000.01,⚪ NEUTRAL
PVTBANIETF,SECTOR,SECTOR.PVT_BANK,3,IMPROVING,FALLING,8,2,0,5,15,C,-1.47,-0.33,9.09,-0.47,-5.06,27.95,⚪ NEUTRAL
LOWVOLIETF,SMART_BETA,FACTOR.LOW_VOL,3,IMPROVING,COLLAPSED,6,2,0,5,13,D,-1.83,-1.9,3.03,-0.22,-5.21,22.2,⚪ NEUTRAL
BANKIETF,SECTOR,SECTOR.BANKING,3,IMPROVING,FALLING,6,2,0,5,13,D,-1.72,-1.18,2.68,-0.39,-6.49,58.92,⚪ NEUTRAL
CPSEETF,THEMATIC,THEME.CPSE,1,LAGGING,FALLING,8,2,0,1,11,D,-5.82,-3.52,9.19,0.13,-13.56,94.05,⚪ NEUTRAL
PSUBNKBEES,SECTOR,SECTOR.PSU_BANK,4,LAGGING,FALLING,10,0,0,1,11,D,-2.53,-0.64,21.25,-0.21,-13.35,95.2,🔴 AVOID-DOWNTREND
NIF100IETF,BROAD_EQUITY,BROAD.LARGECAP,3,IMPROVING,IGNITE,0,3,2,6,11,D,-1.58,0.42,0.22,-0.33,-5.14,28.44,⚠ ILLIQUID
BFSI,SECTOR,SECTOR.FIN_SERVICES,3,IMPROVING,FALLING,4,2,0,5,11,D,-3.14,-0.87,1.02,-0.42,-7.44,27.23,⚠ ILLIQUID
INFRABEES,THEMATIC,THEME.INFRA,2,LAGGING,FALLING,2,8,0,1,11,D,-2.15,-1.62,0.7,0.19,-4.55,963.0,⚠ ILLIQUID
HNGSNGBEES,INTERNATIONAL,INTL.HK,4,LAGGING,LAGGING,8,0,0,1,9,D,-8.78,-3.27,5.51,-0.93,-16.13,475.0,🔴 AVOID-DOWNTREND
FMCGIETF,SECTOR,SECTOR.FMCG,4,LAGGING,LAGGING,8,0,0,1,9,D,-8.09,-4.05,5.5,-0.91,-16.28,51.07,🔴 AVOID-DOWNTREND
QUAL30IETF,SMART_BETA,FACTOR.QUALITY,3,IMPROVING,LAGGING,0,4,0,5,9,D,-1.23,-0.89,0.21,-0.24,-4.71,21.23,⚠ ILLIQUID
DEFENCE,THEMATIC,THEME.DEFENCE,0,n/a,n/a,4,2,0,0,6,D,,,1.6,0.0,-1.7,82.1,⚠ ILLIQUID
OILIETF,SECTOR,SECTOR.OIL_GAS,4,LAGGING,LAGGING,4,0,0,1,5,D,-4.82,-0.48,1.73,-0.6,-9.42,11.35,⚠ ILLIQUID
PSUBANK,SECTOR,SECTOR.PSU_BANK,4,LAGGING,FALLING,2,1,0,1,4,D,-2.19,-0.37,0.9,-0.23,-13.08,85.67,⚠ ILLIQUID
NV20IETF,SMART_BETA,FACTOR.VALUE,4,LAGGING,FALLING,0,0,0,1,1,D,-7.16,-1.3,0.45,-1.28,-11.44,13.55,⚠ ILLIQUID
