date,symbol,action,qty,price,value
2020-01-03,BANKBEES,BUY,1080.31,326.61,352941.18
2020-01-10,BANKBEES,SELL,401.61,327.75,131591.41
2020-01-10,BANKBEES,BUY,0.0,327.89,0.0
2020-01-10,MID150BEES,BUY,4313.68,64.45,278112.88
2020-01-17,MID150BEES,SELL,4313.68,66.71,287665.16
2020-01-17,BANKBEES,BUY,361.15,322.97,116676.87
2020-01-24,BANKBEES,SELL,341.8,319.51,109175.64
2020-01-24,MID150BEES,BUY,4123.42,67.6,278841.39
2020-01-31,MID150BEES,SELL,4123.42,66.78,275265.6
2020-01-31,BANKBEES,BUY,89.6,316.96,28408.79
2020-02-07,BANKBEES,SELL,89.96,318.28,28622.74
2020-02-07,MID150BEES,BUY,4078.3,68.05,277626.34
2020-02-14,BANKBEES,BUY,3.32,314.81,1044.03
2020-02-14,MID150BEES,BUY,33.2,67.09,2228.13
2020-02-20,MID150BEES,SELL,4111.5,67.45,277223.1
2020-02-20,BANKBEES,BUY,88.1,315.18,27776.23
2020-02-28,BANKBEES,BUY,36.6,296.78,10865.34
2020-03-06,BANKBEES,BUY,25.99,284.83,7404.43
2020-03-13,BANKBEES,BUY,66.91,257.81,17255.87
2020-03-20,BANKBEES,SELL,290.53,204.21,59310.92
2020-03-20,GOLDBEES,BUY,10652.42,36.12,384851.38
2020-03-27,GOLDBEES,SELL,347.48,38.16,13256.54
2020-03-27,BANKBEES,BUY,23.57,201.24,4745.09
2020-04-03,GOLDBEES,SELL,284.08,38.78,11013.77
2020-04-03,BANKBEES,BUY,89.43,174.86,15642.84
2020-04-09,BANKBEES,SELL,61.52,198.54,12211.03
2020-04-09,GOLDBEES,SELL,95.98,40.78,3913.1
2020-04-17,BANKBEES,SELL,21.19,210.28,4455.19
2020-04-17,GOLDBEES,SELL,143.92,42.46,6109.18
2020-04-24,GOLDBEES,SELL,117.55,42.68,5015.85
2020-04-24,BANKBEES,BUY,40.0,196.94,7879.65
2020-04-30,BANKBEES,SELL,51.99,215.29,11189.09
2020-04-30,GOLDBEES,BUY,145.0,42.58,6175.89
2020-05-08,BANKBEES,BUY,49.19,195.34,9610.71
2020-05-08,GOLDBEES,BUY,9.44,41.52,391.86
2020-05-15,GOLDBEES,SELL,76.41,41.79,3192.31
2020-05-15,BANKBEES,BUY,18.62,190.09,3540.82
2020-05-22,GOLDBEES,SELL,99.7,41.64,4150.37
2020-05-22,BANKBEES,BUY,56.17,173.79,9764.48
2020-05-29,BANKBEES,SELL,72.58,193.64,14051.21
2020-05-29,GOLDBEES,BUY,248.96,41.0,10209.86
2020-06-05,BANKBEES,SELL,50.25,211.92,10646.7
2020-06-05,GOLDBEES,BUY,105.22,41.2,4335.99
2020-06-12,GOLDBEES,SELL,111.4,41.79,4654.07
2020-06-12,BANKBEES,BUY,15.45,207.78,3212.11
2020-06-19,BANKBEES,SELL,19.76,215.03,4246.82
2020-06-19,GOLDBEES,BUY,57.94,41.75,2419.83
2020-06-26,BANKBEES,SELL,0.59,216.78,127.21
2020-06-26,GOLDBEES,SELL,67.8,42.32,2868.42
2020-07-03,BANKBEES,SELL,9.93,220.42,2187.46
2020-07-03,GOLDBEES,BUY,41.1,42.21,1735.39
2020-07-10,GOLDBEES,SELL,9915.78,43.19,428147.34
2020-07-10,BANKBEES,BUY,714.33,226.09,161547.29
