date,symbol,action,qty,price,value
2022-01-07,MAFANG,BUY,6122.14,54.43,333333.33
2022-01-07,ITBEES,BUY,5119.08,39.06,200000.0
2022-01-07,BANKBEES,BUY,525.62,380.39,200000.0
2022-01-07,GOLDBEES,BUY,3243.29,41.1,133333.33
2022-01-14,MAFANG,SELL,633.31,53.78,34048.73
2022-01-14,BANKBEES,SELL,525.62,386.73,203214.93
2022-01-14,GOLDBEES,SELL,3243.29,41.52,134626.38
2022-01-14,PSUBNKBEES,BUY,11675.43,30.34,354292.81
2022-01-14,ITBEES,BUY,3762.83,39.7,149421.26
2022-01-21,MAFANG,SELL,2692.98,51.88,139668.87
2022-01-21,ITBEES,SELL,4139.55,36.7,151886.95
2022-01-21,PSUBNKBEES,SELL,5785.99,29.55,170948.31
2022-01-21,PSUBNKBEES,BUY,0.0,29.57,0.0
2022-01-21,ITBEES,BUY,0.0,36.72,0.0
2022-01-21,GOLDBEES,BUY,5198.52,41.85,217614.74
2022-01-28,MAFANG,SELL,601.5,47.89,28797.34
2022-01-28,ITBEES,SELL,4742.35,34.71,164572.2
2022-01-28,PSUBNKBEES,SELL,5889.44,31.51,185542.29
2022-01-28,BANKBEES,BUY,276.57,379.93,105109.33
2022-01-28,GOLDBEES,BUY,2411.38,41.44,99953.42
2022-01-28,MAFANG,BUY,0.0,47.91,0.0
2022-02-04,MAFANG,SELL,73.69,50.01,3684.26
2022-02-04,BANKBEES,SELL,5.17,390.76,2020.08
2022-02-04,GOLDBEES,BUY,39.74,41.61,1654.03
2022-02-04,SILVERBEES,BUY,1739.22,60.97,106075.24
2022-02-11,MAFANG,SELL,8.17,50.59,412.95
2022-02-11,GOLDBEES,SELL,48.87,42.18,2060.97
2022-02-11,SILVERBEES,SELL,1739.22,62.35,108403.6
2022-02-11,BANKBEES,BUY,4.09,388.08,1587.6
2022-02-11,PSUBNKBEES,BUY,3308.72,32.3,106892.06
2022-02-11,MAFANG,BUY,0.0,50.61,0.0
2022-02-18,PSUBNKBEES,SELL,3308.72,30.83,101989.96
2022-02-18,BANKBEES,BUY,41.59,378.96,15766.44
2022-02-18,GOLDBEES,BUY,746.15,43.19,32234.7
2022-02-18,MAFANG,BUY,283.56,50.15,14224.9
2022-02-25,MAFANG,SELL,132.17,46.77,6179.76
2022-02-25,GOLDBEES,SELL,1063.24,43.61,46355.44
2022-02-25,BANKBEES,SELL,29.03,367.58,10666.61
2022-02-25,ITBEES,BUY,3092.36,34.24,105904.51
2022-03-04,MAFANG,SELL,14.59,47.32,690.39
