Date,equity,regime,drawdown_pct
2022-01-03,999566.75,,0.0
2022-01-04,999566.75,,0.0
2022-01-05,999566.75,,0.0
2022-01-06,999566.75,,0.0
2022-01-07,999566.75,INTL_LED,0.0
2022-01-10,999566.75,INTL_LED,0.0
2022-01-11,999566.75,INTL_LED,0.0
2022-01-12,999566.75,INTL_LED,0.0
2022-01-13,999566.75,INTL_LED,0.0
2022-01-14,1003391.81,RISK_ON,0.0
2022-01-17,1003391.81,RISK_ON,0.0
2022-01-18,1003391.81,RISK_ON,0.0
2022-01-19,1003391.81,RISK_ON,0.0
2022-01-20,1003391.81,RISK_ON,0.0
2022-01-21,957164.74,MIXED,-4.607080657754226
2022-01-24,957164.74,MIXED,-4.607080657754226
2022-01-25,957164.74,MIXED,-4.607080657754226
2022-01-27,957164.74,MIXED,-4.607080657754226
2022-01-28,945691.92,GOLD_LED,-5.750484449339888
2022-01-31,945691.92,GOLD_LED,-5.750484449339888
2022-02-01,945691.92,GOLD_LED,-5.750484449339888
2022-02-02,945691.92,GOLD_LED,-5.750484449339888
2022-02-03,945691.92,GOLD_LED,-5.750484449339888
2022-02-04,954620.45,GOLD_LED,-4.860649600079958
2022-02-07,954620.45,GOLD_LED,-4.860649600079958
2022-02-08,954620.45,GOLD_LED,-4.860649600079958
2022-02-09,954620.45,GOLD_LED,-4.860649600079958
2022-02-10,954620.45,GOLD_LED,-4.860649600079958
2022-02-11,961918.85,GOLD_LED,-4.133276710719825
2022-02-14,961918.85,GOLD_LED,-4.133276710719825
2022-02-15,961918.85,GOLD_LED,-4.133276710719825
2022-02-16,961918.85,GOLD_LED,-4.133276710719825
2022-02-17,961918.85,GOLD_LED,-4.133276710719825
2022-02-18,961079.61,GOLD_LED,-4.21691701868685
2022-02-21,961079.61,GOLD_LED,-4.21691701868685
2022-02-22,961079.61,GOLD_LED,-4.21691701868685
2022-02-23,961079.61,GOLD_LED,-4.21691701868685
2022-02-24,961079.61,GOLD_LED,-4.21691701868685
2022-02-25,953056.07,GOLD_LED,-5.0165587857449285
2022-02-28,953056.07,GOLD_LED,-5.0165587857449285
2022-03-02,953056.07,GOLD_LED,-5.0165587857449285
2022-03-03,953056.07,GOLD_LED,-5.0165587857449285
2022-03-04,958023.03,GOLD_LED,-4.521541789343486
2022-03-07,958023.03,GOLD_LED,-4.521541789343486
2022-03-08,958023.03,GOLD_LED,-4.521541789343486
2022-03-09,958023.03,GOLD_LED,-4.521541789343486
2022-03-10,958023.03,GOLD_LED,-4.521541789343486
2022-03-11,965100.12,GOLD_LED,-3.8162250895789174
2022-03-14,965100.12,GOLD_LED,-3.8162250895789174
2022-03-15,965100.12,GOLD_LED,-3.8162250895789174
2022-03-16,965100.12,GOLD_LED,-3.8162250895789174
2022-03-17,964270.12,GOLD_LED,-3.898944520984282
2022-03-21,964270.12,GOLD_LED,-3.898944520984282
2022-03-22,964270.12,GOLD_LED,-3.898944520984282
2022-03-23,964270.12,GOLD_LED,-3.898944520984282
2022-03-24,964270.12,GOLD_LED,-3.898944520984282
2022-03-25,977475.04,GOLD_LED,-2.582916238871835
2022-03-28,977475.04,GOLD_LED,-2.582916238871835
2022-03-29,977475.04,GOLD_LED,-2.582916238871835
2022-03-30,977475.04,GOLD_LED,-2.582916238871835
2022-03-31,977475.04,GOLD_LED,-2.582916238871835
2022-04-01,981858.94,GOLD_LED,-2.1460081481031956
2022-04-04,981858.94,GOLD_LED,-2.1460081481031956
2022-04-05,981858.94,GOLD_LED,-2.1460081481031956
2022-04-06,981858.94,GOLD_LED,-2.1460081481031956
2022-04-07,981858.94,GOLD_LED,-2.1460081481031956
2022-04-08,987402.57,MIXED,-1.5935190860288273
2022-04-11,987402.57,MIXED,-1.5935190860288273
2022-04-12,987402.57,MIXED,-1.5935190860288273
2022-04-13,984324.67,GOLD_LED,-1.9002686497909593
2022-04-18,984324.67,GOLD_LED,-1.9002686497909593
2022-04-19,984324.67,GOLD_LED,-1.9002686497909593
2022-04-20,984324.67,GOLD_LED,-1.9002686497909593
2022-04-21,984324.67,GOLD_LED,-1.9002686497909593
2022-04-22,976227.5,GOLD_LED,-2.7072485273723745
2022-04-25,976227.5,GOLD_LED,-2.7072485273723745
2022-04-26,976227.5,GOLD_LED,-2.7072485273723745
2022-04-27,976227.5,GOLD_LED,-2.7072485273723745
2022-04-28,976227.5,GOLD_LED,-2.7072485273723745
2022-04-29,970699.45,GOLD_LED,-3.258184856023505
2022-05-02,970699.45,GOLD_LED,-3.258184856023505
2022-05-04,970699.45,GOLD_LED,-3.258184856023505
2022-05-05,970699.45,GOLD_LED,-3.258184856023505
2022-05-06,963339.17,GOLD_LED,-3.9917248278117823
2022-05-09,963339.17,GOLD_LED,-3.9917248278117823
2022-05-10,963339.17,GOLD_LED,-3.9917248278117823
2022-05-11,963339.17,GOLD_LED,-3.9917248278117823
2022-05-12,963339.17,GOLD_LED,-3.9917248278117823
2022-05-13,943514.13,RISK_OFF,-5.9675272812920515
2022-05-16,943514.13,RISK_OFF,-5.9675272812920515
2022-05-17,943514.13,RISK_OFF,-5.9675272812920515
2022-05-18,943514.13,RISK_OFF,-5.9675272812920515
2022-05-19,943514.13,RISK_OFF,-5.9675272812920515
2022-05-20,946531.4,RISK_OFF,-5.666820222501123
2022-05-23,946531.4,RISK_OFF,-5.666820222501123
2022-05-24,946531.4,RISK_OFF,-5.666820222501123
2022-05-25,946531.4,RISK_OFF,-5.666820222501123
2022-05-26,946531.4,RISK_OFF,-5.666820222501123
2022-05-27,947325.14,GOLD_LED,-5.5877145339665475
2022-05-30,947325.14,GOLD_LED,-5.5877145339665475
2022-05-31,947325.14,GOLD_LED,-5.5877145339665475
2022-06-01,947325.14,GOLD_LED,-5.5877145339665475
