Symbol,Edge_Hint,Signal,Signal_Label,Signal_Date,Score,RFF_Score,RFF_Base,RFF_Bonus,RFF_Total,RFF_Quality,RFF_Checks,Fund_Source,Chartink_Confirmed,RFF_Detail,Weinstein_Stage,Mansfield_RS_x100,RS_Momentum_4W,RRG_Quadrant,RS_Slope_4W,RS_Positive,Stretch_SMA200_pct,Correction_52W_pct,Rel_Vol,RSI14,RSI3,Regime_OK,Mkt_Recovery,Mkt_Corrected,Mkt_Reclaim,Mkt_Corr_Depth_pct,CB_Climax_Date,Entry,SL,T1,T2,RR_T1,T1_pct,SL_pct,Details,Conviction,Combined_Score
SAIL,REV-RS,0,None,,10,4,4,3,7,FULL,111100,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'Profit↑': True, 'OpLev↑': True, 'Deleverage': True}",2,3.82,9.076,LEADING,12.11,True,13.2,11.25,0.98,62.0,0.0,True,False,False,False,4.3,,186.1,165.5,209.7,237.6,1.15,12.68,11.07,"EARLY trendline reclaim 1d ago, base compressed | Strict-trend not confirmed UP (dtrend=-1) | No climax bar detected",7.5,60.2
PARADEEP,REV-RS,0,None,,13,5,5,3,8,FULL,101111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,17.032,6.049,LEADING,10.36,True,15.38,22.08,0.19,59.9,55.4,True,False,False,False,4.3,,157.54,142.39,195.41,202.19,2.5,24.04,9.62,No EARLY breakout in last 5 trading days | No RS breakout in last 5 trading days | No climax bar detected,6.0,59.5
SUNDARMFIN,REV-EARLY,0,None,,6,2,2,2,4,FULL,100010,Screener.in-pool+live+yf,False,"{'NI>0': True, 'CR>1': True, 'Sales↑': True, 'Profit↑': True}",3,1.814,9.823,LEADING,7.65,True,-1.63,16.47,0.59,73.7,,True,False,False,False,4.3,,4712.7,4406.16,5479.06,5642.0,2.5,16.26,6.5,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,9.0,58.6
ADANIPOWER,REV-RS,2,REV-CB,2026-09-02,12,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",2,-1.3,-0.904,LAGGING,3.68,False,14.21,18.02,0.77,54.4,50.7,True,False,False,False,4.3,2026-08-31,208.4,195.18,207.37,182.47,-0.08,-0.49,6.35,"CB buy: climax 6d ago, turn 4d ago [RFF base 6/6, bonus 0/4, total 6/10, quality FULL] [Also in Screener.in screens — intersection]",6.0,57.3
DEVYANI,REV-RS,0,None,,9,1,1,3,4,FULL,010000,Screener.in-pool+live+yf,False,"{'FCF>0': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,15.482,-4.505,WEAKENING,-1.98,True,11.83,27.96,0.18,28.4,0.0,True,False,False,False,4.3,,137.59,132.89,149.35,191.0,2.5,8.55,3.42,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,7.0,55.5
WOCKPHARMA,WYC-SOS,0,None,,10,3,3,4,7,FULL,100110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'D/E<2': True, 'CR>1': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True, 'Deleverage': True}",2,26.281,12.01,LEADING,17.51,True,40.3,8.19,1.66,78.9,,False,False,False,False,4.3,,2224.0,1976.64,2422.3,2842.41,0.8,8.92,11.12,Regime gate failed | Regime gate failed | No climax bar detected,6.5,55.2
MRPL,REV-RS,0,None,,11,5,5,3,8,FULL,111110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",1,1.74,5.759,LEADING,3.56,True,3.56,18.53,0.33,43.6,0.0,True,False,False,False,4.3,,172.96,163.99,195.38,212.31,2.5,12.96,5.18,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,6.0,55.0
PFOCUS,REV-RS,0,None,,5,1,1,1,2,FULL,100000,Screener.in-pool+live+yf,False,"{'NI>0': True, 'Sales↑': True}",2,9.808,15.612,LEADING,18.61,True,20.5,14.67,2.65,69.1,,True,False,False,False,4.3,,313.15,271.69,367.0,416.79,1.3,17.2,13.24,No EARLY breakout in last 5 trading days | No RS breakout in last 5 trading days | No climax bar detected,8.5,53.9
HINDALCO,REV-RS,0,None,,10,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,-1.012,-0.795,LAGGING,0.08,False,4.61,14.2,0.71,38.2,44.4,True,False,False,False,4.3,,1009.0,987.06,1063.86,1176.0,2.5,5.44,2.17,RS slope negative | RS slope negative | No climax bar detected,6.0,52.7
SAPPHIRE,REV-RS,0,None,,11,2,2,3,5,FULL,010100,Screener.in-pool+live+yf,False,"{'FCF>0': True, 'D/E<2': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,18.198,-4.812,WEAKENING,-1.41,True,12.37,32.84,0.68,31.6,17.6,True,False,False,False,4.3,,227.0,218.79,247.53,338.0,2.5,9.05,3.62,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=-1) | No climax bar detected,5.5,52.5
TATACOMM,REV-EARLY,0,None,,7,2,2,2,4,FULL,110000,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'Sales↑': True, 'OpLev↑': True}",2,0.309,2.906,LEADING,4.18,True,2.17,16.93,0.84,63.3,80.8,True,False,False,False,4.3,,1752.8,1617.12,2091.99,2110.0,2.5,19.35,7.74,No EARLY breakout in last 5 trading days | No RS breakout in last 5 trading days | No climax bar detected,7.0,50.9
BALRAMCHIN,REV-RS,0,None,,8,4,4,1,5,FULL,101110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'Sales↑': True}",2,24.487,11.184,LEADING,16.27,True,37.36,8.9,0.9,57.9,60.2,False,False,False,False,4.3,,711.45,596.87,780.95,997.9,0.61,9.77,16.11,Regime gate failed | Regime gate failed | No climax bar detected,6.5,50.7
JUBLFOOD,REV-EARLY,0,None,,8,3,3,2,5,FULL,110001,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True}",3,4.378,-1.942,WEAKENING,-2.69,True,-1.67,28.06,0.44,39.7,40.0,True,False,False,False,4.3,,480.4,464.76,519.5,667.75,2.5,8.14,3.26,No higher-low structure (recent 471.50 <= prior 480.00) | No higher-low structure (recent 471.50 <= prior 480.00) | No climax bar detected,6.5,50.7
TEJASNET,REV-RS,0,None,,6,2,2,1,3,FULL,000110,Screener.in-pool+live+yf,False,"{'D/E<2': True, 'CR>1': True, 'OpLev↑': True}",2,13.547,7.777,LEADING,11.89,True,25.5,8.48,0.89,72.7,66.0,False,False,False,False,4.3,,590.05,516.64,644.75,773.58,0.75,9.27,12.44,Regime gate failed | Regime gate failed | No climax bar detected,6.5,46.1
